AVG,YEAR,AB,LVL,LG,AGE
0.215,2012,135,MLB,AL,31
0.241,2012,237,MLB,NL,28
0.333,2012,3,MLB,AL,27
0.333,2012,72,MLB,NL,25
0.239,2012,758,MLB,AL,31
0.22,2012,250,MLB,AL,29
0.288,2012,673,MLB,AL,25
0.481,2012,27,MLB,NL,37
0.238,2012,126,MLB,AL,31
0.238,2012,663,MLB,AL,23
0.252,2012,103,MLB,AL,23
0.28,2012,175,MLB,AL,26
0.217,2012,106,MLB,NL,29
0.238,2012,63,MLB,AL,28
0.75,2012,4,MLB,NL,28
0.223,2012,175,MLB,AL,29
0.273,2012,348,MLB,AL,24
0.233,2012,30,MLB,NL,25
0.267,2012,430,MLB,AL,28
0.179,2012,39,MLB,NL,24
0.256,2012,262,MLB,AL,26
0.234,2012,205,MLB,AL,27
0.333,2012,42,MLB,NL,29
0.4,2012,5,MLB,NL,29
0.229,2012,35,MLB,NL,25
0.278,2012,632,MLB,AL,28
0.187,2012,150,MLB,AL,24
0.333,2012,30,MLB,NL,27
0.236,2012,382,MLB,NL,28
0.148,2012,61,MLB,NL,27
0.259,2012,185,MLB,NL,31
0.3,2012,80,MLB,NL,38
0.242,2012,330,MLB,AL,28
0.231,2012,26,MLB,NL,33
0.267,2012,30,MLB,AL,22
0.462,2012,13,MLB,NL,26
0.193,2012,109,MLB,NL,26
0.274,2012,95,MLB,NL,26
0.254,2012,511,MLB,AL,24
0.306,2012,448,MLB,NL,25
0.471,2012,17,MLB,NL,26
0.285,2012,123,MLB,NL,31
0.274,2012,263,MLB,NL,29
0.195,2012,128,MLB,AL,28
0.168,2012,107,MLB,NL,34
0.251,2012,175,MLB,AL,39
0.249,2012,822,MLB,AL,37
0.27,2012,267,MLB,NL,37
0.278,2012,144,MLB,NL,24
0.291,2012,227,MLB,NL,31
0.275,2012,408,MLB,NL,29
0.274,2012,671,MLB,AL,25
0.28,2012,161,MLB,AL,39
0.24,2012,654,MLB,NL,27
0.244,2012,123,MLB,NL,26
0.268,2012,41,MLB,AL,25
0.328,2012,229,MLB,NL,49
0.282,2012,131,MLB,AL,24
0.275,2012,236,MLB,NL,31
0.284,2012,275,MLB,NL,30
0.29,2012,744,MLB,AL,22
0.214,2012,457,MLB,AL,27
0.221,2012,136,MLB,NL,24
0.306,2012,144,MLB,NL,37
0.25,2012,743,MLB,AL,26
0.314,2012,86,MLB,NL,25
0.313,2012,256,MLB,AL,36
0.25,2012,120,MLB,NL,30
0.341,2012,126,MLB,NL,26
0.256,2012,804,MLB,NL,26
0.217,2012,240,MLB,AL,27
0.234,2012,248,MLB,AL,26
0.232,2012,280,MLB,AL,40
0.291,2012,223,MLB,NL,27
0.174,2012,132,MLB,AL,24
0.368,2012,38,MLB,NL,36
0.231,2012,225,MLB,NL,34
0.248,2012,149,MLB,AL,25
0.313,2012,64,MLB,NL,22
0.261,2012,594,MLB,NL,35
0.275,2012,691,MLB,AL,31
0.276,2012,409,MLB,AL,29
0.14,2012,186,MLB,AL,26
