col20,col15,col19,col13
mier,mir,мир,mír
pivo,pivo,бира; пиво,pivo
slo,slv,bul,ces
bik,bik,бик,býk
slo,slv,bul,ces
cibluk,čebula,лук; кромид,cibule
krisxa,streha,покрив,střecha
vugol,oglje,въглен,uhlí
broda,brada,брада,vousy
midlo,milo,сапун,mýdlo
stol,miza,маса,stůl
slo,slv,bul,ces
podbrodok,brada,брада,brada
sliva,sliva,слива,švestka
novju,nov,нов,nový
leov,lev,лъв,lev
papir,papir,хартия,papír
cxlovek,človek,човек,člověk
hleb,kruh,хляб,chléb
belju,bel,бял,bílý
vosx,uš,въшка,veš
prirod,priroda,природа,příroda
svin,svinja; prašič,прасе; свиня,prase
reka,reka,река,řeka
ocx,oko,око,oko
pogod,vreme,време,počasí
molba; molitba,molitev,молитва,modlitba
verblud,kamela; velblod,камила,velbloud
jacxmen,ječmen,ечемик,ječmen
sekund,sekunda,секунда,vteřina; sekunda
pravda,resnica,истина; правда,pravda
jazik,jezik,език,jazyk
dopis,pismo,писмо,dopis
vcxera,včeraj,вчера,včera
nozx,nož,нож,nůž
mlek,mleko,мляко,mléko
slon,slon,слон,slon
ostrov,otok,остров,ostrov
tigr,tiger,тигър,tygr
slo,slv,bul,ces
dom,hiša; dom,къща; дом,dům
svecxa,sveča,свещ,svíčka
vuol,vol,вол,vůl
zerkalo,ogledalo; zrcalo,огледало,zrcadlo
otrava; jad,strup,отрова,jed
noga,noga,крак; нога,noha
priatel; drug,prijatelj,приятел,přítel
ptak,ptica; ptač,птица,pták
slo,slv,bul,ces
ogrod; sad,vrt,градина,zahrada; sad
kot,mačka,котка; мачка,kočka
slo,slv,bul,ces
psxenc,pšenica,пшеница,pšenice
kuhna,kuhinja,кухня,kuchyně
med,med,мед,med
dete,otrok; dete,дете,dítě
sir,sir,сирене,sýr
cxeresx; visxna,češnja,череша; вишна,třešně
kolen,koleno,коляно,koleno
voda,voda,вода,voda
pustinia,pustinja,пустиня,poušť
buria,vihar,буря,bouře
mlodju,mlad,млад,mladý
religia,religija,религия,náboženství
led,led,лед,led
slo,slv,bul,ces
ovec,ovca,овца,ovce
angel,angel,ангел,anděl
siniju,moder,син,modrý
dengi,denar,пари,peníze
ili,ali,или,nebo
zembulba,krompir,картоф,brambor
golub,golob,гълъб,holub
bukva,črka,буква,písmeno
sxolk,svila,коприна,hedvábí
sred,sreda; sredina,среда,střed
zavtra,jutri,утре,zítra
jagna,jagnje,агне,jehně; beránek
vino,vino,вино,víno
lizxka,žlica,лъжица,lžíce
lodka; cxoln,čoln,лодка,člun; loďka
guba,ustnica,устна,pysk
slo,slv,bul,ces
muzx,mož,мъж,muž
slo,slv,bul,ces
koz,koza,коза,koza
brat,brat,брат,bratr
bavulna,bombaž,памук,bavlna
riba,riba,риба,ryba
nirka,ledvica,бъбрек,ledvina
den,dan,ден,den
sin,sin,син,syn
nos,nos,нос,nos
sezon,letni čas,годишно време,ročni doba
velju,velik,голям,velký
kost,kost,кокал; кост,kost
stena,stena,стена; зид,stěna
vulna,volna,вълна,vlna
serce,srce,сърце,srdce
orel,orel,орел,orel
krev,kri,кръв,krev
kofe,kava,кафе,káva
most,most,мост,most
slo,slv,bul,ces
vecxer,večer,вечер,večer
ruka,roka,ръка,rameno
komnat,soba,стая,pokoj
sol,sol,сол,sůl
osel,osel,магаре,osel
perec,poper,пипер,pepř
vezxa; basxta,stolp,кула,věž
bloha,bolha,бълха,blecha
kvit,cvetica,цвете; цвят,květina
 ,kis; ocet,оцет,ocet
velgrod,mesto,град,město
zxen,ženska,жена,žena
usta,usta,уста,ústa
