2B,Player,AB,OBP,OPS,G,R,CS,3B,H
9,R Macias,105,0.395,0.833,70,8,0,0,34
12,L Garcia,167,0.344,0.727,53,17,0,1,47
15,V Bojorquez,310,0.349,0.733,91,52,6,1,90
5,R Valdez,214,0.371,0.745,81,39,5,6,60
10,G Vazquez,320,0.296,0.543,90,42,4,0,69
3,A Arredondo,72,0.39,0.779,32,18,0,0,22
9,J Rodriguez,114,0.331,0.761,31,20,2,1,26
15,E Gutierrez,326,0.387,0.81,97,66,5,9,99
18,M Valenzuela,261,0.406,1.015,77,54,0,1,85
4,F Rios,156,0.392,0.802,54,31,1,1,49
10,J Espinoza,187,0.393,0.773,71,30,1,0,52
23,W Romero,319,0.422,0.889,87,70,7,1,103
3,K Pellow,46,0.373,0.742,12,7,1,0,14
0,R Armenta,17,0.167,0.284,7,0,0,0,2
6,D Urias,273,0.344,0.728,91,36,3,5,83
0,J Linares,6,0.0,0.0,2,0,0,0,0
21,S Gonzalez,397,0.319,0.725,98,55,7,3,116
10,A Gonzalez,268,0.431,0.834,91,71,5,6,77
6,W Arano,133,0.411,0.817,57,23,0,0,45
3,A Cazana,108,0.432,0.951,29,14,1,0,41
8,C Ibarra,88,0.35,0.702,61,10,1,0,23
15,A Sanchez,409,0.338,0.736,98,60,11,5,120
1,C Caamal,14,0.143,0.357,8,2,0,0,2
8,E Clemente,77,0.427,1.011,21,23,0,0,28
11,O Sandoval,198,0.28,0.578,64,20,4,0,45
14,S Contreras,300,0.44,0.917,91,54,2,1,97
0,C Penuelas,8,0.125,0.5,5,1,0,1,1
2,C Avila,55,0.371,0.698,28,11,0,0,16
30,C Roberson,418,0.378,0.885,103,76,12,9,128
15,L Heras,399,0.379,0.803,96,58,5,8,126
34,F Diaz,400,0.376,0.896,103,75,3,0,135
8,F Busani,101,0.366,0.861,39,14,2,1,31
18,C Presichi,363,0.399,0.867,97,65,7,2,124
30,R Reyes,402,0.401,0.936,105,76,3,1,135
23,L Suarez,338,0.426,0.932,92,71,2,1,122
19,R Sanchez,262,0.375,0.794,77,42,3,2,81
0,G Angulo,44,0.184,0.297,19,6,2,0,5
0,C Zayas,15,0.235,0.369,14,2,0,0,2
18,O Ramirez,338,0.389,0.803,98,53,1,1,96
18,I Araujo,413,0.361,0.801,106,50,8,2,136
2,R Taylor,58,0.343,0.723,15,7,1,0,14
