MP,TS%,Rk,eFG%,DRB%
6:37, ,15, ,22.0
7:41, ,44, ,43.6
9:17, ,16, ,17.2
16:52,.694,57,.500,16.7
5:09,.500,48,.500,25.2
12:26,1.136,3, ,19.8
4:58, ,10, ,0.0
17:32,.602,64,.500,44.6
13:02,.798,4,1.000,24.6
22:12,.798,62,.667,34.1
20:31,.174,22,.000,16.3
31:50,.200,21,.200,29.4
26:36,.615,34,.500,21.8
4:23, ,53, ,0.0
14:23,.000,5,.000,8.1
8:42,.000,6,.000,26.3
20:36,.754,41,.500,5.7
32:53,.833,32,1.000,18.2
0:02, ,54, ,0.0
10:47,.500,58,.500,39.6
12:04,.532,43,.000,18.9
25:45,.266,28,.000,50.8
15:37,.333,61,.333,15.0
12:47,.673,42,.667,17.5
29:18,.333,29,.333,34.4
