Date,2b,dp
"Feb 15, 2006",0,0
"Feb 10, 2006",1,0
"Feb 25, 2006",1,1
"Apr 29, 2006",2,0
"Apr 05, 2006",2,0
"Feb 10, 2006",0,0
"Apr 01, 2006",3,0
"Mar 19, 2006",0,0
"Apr 06, 2006",2,1
"Feb 18, 2006",3,0
"Mar 21, 2006",1,1
"Mar 28, 2006",0,0
"Mar 18, 2006",1,0
"Apr 01, 2006",0,0
"Feb 15, 2006",0,0
"May 06, 2006",3,1
"Apr 09, 2006",0,0
"Mar 04, 2006",3,0
"Apr 30, 2006",0,0
"Apr 23, 2006",2,0
"Feb 17, 2006",0,0
"Mar 25, 2006",0,0
"Mar 03, 2006",0,0
"Mar 11, 2006",1,1
"Feb 11, 2006",1,0
"Apr 18, 2006",0,0
Totals,55,12
"Mar 10, 2006",1,0
"Apr 02, 2006",2,0
