Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Carl Crawford,Por,3,10,2,4,0,1,0,1,1,0,2,1,0.4,0.5,0.6,1.1
Matt Spring,Por,10,27,4,5,2,0,3,7,0,0,9,14,0.185,0.389,0.593,0.981
Jeremy Hazelbaker,Por,28,108,21,27,4,2,8,15,10,0,10,24,0.25,0.317,0.546,0.863
Reynaldo Rodriguez,Por,21,77,10,21,6,1,4,13,1,1,8,21,0.273,0.337,0.532,0.87
Marquez Smith,Por,29,111,21,37,10,1,3,18,0,0,11,20,0.333,0.389,0.523,0.911
Jackie Bradley,Por,30,117,16,32,10,1,4,15,5,1,15,20,0.274,0.356,0.479,0.834
Kolbrin Vitek,Por,7,26,1,7,5,0,0,1,0,0,0,7,0.269,0.269,0.462,0.731
Dan Butler,Por,21,71,9,19,4,0,2,9,0,0,11,7,0.268,0.388,0.408,0.797
Drew Hedman,Por,14,42,5,6,2,0,3,6,0,0,7,19,0.143,0.275,0.405,0.679
Ronald Bermudez,Por,7,20,2,5,3,0,0,2,1,0,0,4,0.25,0.286,0.4,0.686
Peter Hissey,Por,21,73,7,20,3,0,1,10,3,2,6,15,0.274,0.329,0.356,0.685
Jacoby Ellsbury,Por,2,9,1,2,1,0,0,0,0,0,0,1,0.222,0.222,0.333,0.556
Bryce Brentz,Por,26,95,10,19,3,0,3,15,4,0,7,22,0.2,0.25,0.326,0.576
Zach Gentile,Por,9,24,3,5,2,0,0,4,1,0,3,7,0.208,0.31,0.292,0.602
Derrik Gibson,Por,25,91,7,17,2,0,0,3,2,1,8,25,0.187,0.26,0.209,0.469
Ryan Dent,Por,20,69,11,11,2,0,0,4,0,0,5,17,0.159,0.227,0.188,0.415
Ryan Sweeney,Por,2,7,0,1,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286
Nick Natoli,Por,4,14,0,1,0,0,0,0,0,0,0,5,0.071,0.071,0.071,0.143
Jayson Hernandez,Por,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
