No.,Name,Yr,gp,gs,g,a,pts,sh,sh%,sog,sog%,yc,rc,pk,gw
0.0,Everett Senetar,So,14,2,1,1,3,15,.067,1,.067,0,0,0-0,0
1.0,Luis Herrera,Sr,21,19,0,0,0,0,-,0,-,0,0,0-0,0
2.0,Asri Bruce,So,21,17,4,0,8,28,.143,2,.071,2,0,0-0,0
3.0,Olaff Alexis Mina,So,22,19,12,16,40,83,.145,12,.145,2,0,0-0,2
4.0,Taylor Cooper,Jr,19,2,3,3,9,11,.273,0,.000,0,0,0-0,0
5.0,Craig Kelly,Sr,21,18,0,6,6,11,.000,1,.091,6,1,0-0,0
6.0,Tyler Pelletier,Jr,21,11,3,3,9,30,.100,2,.067,0,0,0-0,1
7.0,Stefan Zalucky,Sr,22,19,5,9,19,35,.143,5,.143,0,0,0-0,0
8.0,Jairo Ulises Castillo,So,21,18,8,4,20,31,.258,12,.387,3,0,1-1,1
9.0,Frank Zeba,Jr,21,15,5,7,17,37,.135,8,.216,1,0,0-0,0
10.0,Juan Manuel Solares,Sr,21,14,5,9,19,46,.109,8,.174,5,0,0-0,1
12.0,Jose Manuel Orozco,So,21,13,1,1,3,20,.050,1,.050,2,0,0-0,0
13.0,David Galarza,So,22,20,3,2,8,24,.125,1,.042,2,0,0-0,0
14.0,Alfredo Palacios,Jr,22,21,22,6,50,78,.282,22,.282,3,0,0-0,6
15.0,Tyler Troup,So,22,19,30,5,65,119,.252,20,.168,3,0,0-0,6
17.0,Matt Cooley,Sr,18,1,1,0,2,5,.200,0,.000,0,0,0-0,0
20.0,Dakota Smith,Jr,19,1,0,0,0,0,-,0,-,0,0,0-0,0
21.0,Anthony Ascolillo,Fr,5,-,0,0,0,3,.000,0,.000,0,0,0-0,0
 ,Totals, ,22,22,103,73,279,577,.179,115,.199,29,1,1-1,17
 ,Opponent, ,22,22,33,24,90,202,.163,94,.465,36,2,1-2,4
