Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Dreily Guerrero,Low,89,11,28,5,0,0,0,7,5,6,20,0.315,0.358,0.371,0.729
Deven Marrero,Low,155,29,35,7,2,2,2,16,4,21,31,0.226,0.318,0.335,0.654
Aneury Tavarez,Low,118,12,36,5,1,3,3,5,3,4,37,0.305,0.344,0.441,0.785
Mike Miller,Low,180,30,49,11,1,0,0,18,2,19,24,0.272,0.345,0.344,0.689
Mookie Betts,Low,142,15,32,4,0,0,0,14,2,16,17,0.225,0.313,0.254,0.566
Matthew Marquis,Low,59,6,13,2,0,0,0,3,1,8,29,0.22,0.324,0.254,0.578
Jake Davies,Low,67,5,15,3,1,0,0,0,1,3,18,0.224,0.257,0.299,0.556
Williams Jerez,Low,49,4,11,2,0,0,0,1,1,2,7,0.224,0.255,0.265,0.52
J.T. Watkins,Low,27,2,5,0,0,0,0,0,1,2,4,0.185,0.29,0.185,0.476
Oscar Perez,Low,79,5,8,3,0,0,0,0,1,3,18,0.101,0.145,0.139,0.284
Kevin Mager,Low,3,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333
Kevin Heller,Low,18,3,6,1,0,2,2,1,0,1,5,0.333,0.368,0.722,1.091
Kendrick Perkins,Low,70,15,20,3,1,4,4,1,0,11,28,0.286,0.398,0.529,0.926
David Chester,Low,83,14,21,6,0,6,6,0,0,6,17,0.253,0.303,0.542,0.846
Jose Iglesias,Low,5,1,2,0,0,0,0,1,0,0,0,0.4,0.4,0.4,0.8
Tim Roberson,Low,40,3,9,2,0,1,1,0,0,1,8,0.225,0.244,0.35,0.594
Matty Johnson,Low,29,5,6,0,0,0,0,2,0,5,7,0.207,0.324,0.207,0.53
Zach Kapstein,Low,46,5,8,3,0,0,0,0,0,4,15,0.174,0.269,0.239,0.508
Kolbrin Vitek,Low,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5
Matthew Gedman,Low,75,7,11,2,0,1,1,2,0,7,12,0.147,0.229,0.213,0.442
Nick Moore,Low,14,0,2,0,0,0,0,0,0,2,8,0.143,0.25,0.143,0.393
Nathan Minnich,Low,22,2,2,0,0,0,0,0,0,4,6,0.091,0.231,0.091,0.322
Jose Colorado,Low,16,0,1,0,0,0,0,1,0,2,7,0.063,0.211,0.063,0.273
Seth Schwindenhammer,Low,22,1,1,0,1,0,0,0,0,2,15,0.045,0.125,0.136,0.261
Jason Thompson,Low,11,1,0,0,0,0,0,1,0,2,3,0.0,0.214,0.0,0.214
