TOV%,G,ORtg,MP,GmSc,Tm,AST%,TS%
66.7,50,67,19:33,-0.6,OKC,0.0,1.000
0.0,16,210,20:24,6.2,OKC,12.2,1.000
0.0,13,56,24:52,1.1,OKC,0.0,.000
50.0,1,60,11:04,0.9,OKC,0.0,.500
41.0,70,126,19:45,6.2,OKC,13.8,.868
29.1,40,133,22:52,5.4,OKC,10.5,.615
0.0,49,141,31:32,7.2,OKC,9.8,.512
0.0,67,210,17:53,9.9,OKC,36.2,1.025
0.0,12,161,21:10,6.6,OKC,0.0,.800
0.0,42,123,25:39,1.9,OKC,0.0,.436
25.0,38,143,23:07,6.0,OKC,0.0,1.000
0.0,36,138,19:47,3.9,OKC,6.4,.532
0.0,3,149,17:34,6.9,OKC,0.0,.699
25.0,6,114,17:10,3.8,OKC,0.0,.667
9.3,48,87,25:05,3.6,OKC,7.6,.410
42.9,9,94,19:42,2.2,OKC,0.0,.750
15.0,19,147,29:35,18.4,OKC,8.1,.839
25.0,71,112,19:03,3.5,OKC,13.3,.667
0.0,53,109,20:13,3.4,OKC,0.0,.512
20.5,5,70,34:39,2.6,OKC,0.0,.387
