TOI,IAP,GP,IPP,G,Points/60
3200:54,46.3,272,66.3,19,1.18
4350:01,40.7,316,71.4,58,1.86
5781:48,25.6,348,32.7,14,0.67
6682:52,27.1,368,34.0,21,0.93
5497:53,26.7,334,36.4,22,0.89
3032:12,46.1,260,68.0,28,1.72
3653:23,36.1,261,71.1,58,1.94
4474:41,19.9,262,29.0,16,0.68
4342:24,33.0,330,69.7,68,1.78
4755:38,50.2,330,70.4,49,2.16
5578:14,39.7,366,74.4,91,2.10
4708:39,53.7,333,75.1,38,1.69
4118:47,36.9,352,67.0,53,1.72
3090:28,42.4,279,70.3,33,1.61
5262:25,18.2,329,24.4,13,0.58
3530:18,36.7,307,64.1,35,1.39
4380:54,49.0,340,75.0,52,2.05
3704:14,26.3,227,34.2,12,0.84
4141:24,41.3,306,67.4,48,1.80
4748:09,25.0,300,31.6,13,0.78
6595:41,29.4,361,33.3,10,0.76
5908:15,24.9,356,32.8,19,0.80
3242:54,17.9,244,20.5,3,0.44
5314:19,63.0,375,80.8,55,2.81
5100:31,40.3,375,71.6,76,2.05
4393:50,28.7,273,34.7,10,0.79
6937:26,31.5,362,36.7,17,1.03
6596:48,27.0,367,40.5,35,0.95
3315:57,36.9,324,64.3,23,0.98
3189:13,23.9,205,30.4,9,0.79
3490:14,25.0,226,38.6,19,0.93
3941:36,52.0,305,76.8,31,1.46
4016:36,46.4,333,67.0,23,1.12
5301:36,29.8,320,36.6,16,0.97
3995:10,33.7,291,66.3,63,1.92
4857:24,41.7,345,69.4,50,1.54
5388:59,45.1,368,76.0,76,2.08
5201:43,22.8,327,27.5,9,0.60
4050:57,28.3,281,36.4,15,0.99
3572:41,27.5,241,30.8,4,0.62
5702:32,21.0,334,30.9,26,0.85
3534:41,38.8,287,73.0,52,1.88
4540:47,42.4,367,75.8,55,1.65
4499:26,13.6,293,19.8,11,0.47
4879:44,45.8,373,71.9,50,1.70
3825:18,41.9,292,71.2,47,1.79
5122:31,24.0,329,29.5,12,0.75
4746:49,40.8,367,74.9,61,1.69
5391:26,29.3,333,36.7,16,0.88
5074:26,34.0,355,71.0,97,2.20
4141:33,44.2,320,75.8,52,1.81
3958:02,26.6,268,35.2,11,0.68
3516:56,46.2,262,84.4,61,2.30
3598:13,26.4,250,33.8,11,0.83
4225:03,41.5,338,73.3,56,1.83
3191:59,26.5,169,33.8,10,0.86
4873:01,39.7,372,69.5,71,2.04
5540:06,23.1,329,32.8,18,0.66
4869:02,30.1,308,37.5,13,0.81
4076:02,43.3,351,68.5,32,1.28
6174:22,18.3,356,23.9,14,0.58
4383:15,40.9,372,68.2,36,1.23
4736:49,23.8,312,31.4,13,0.68
3201:02,41.0,243,71.8,36,1.57
4277:29,25.5,298,30.1,7,0.65
3743:16,39.2,336,71.5,42,1.49
3221:53,36.9,307,73.9,41,1.53
3105:15,36.3,245,74.3,43,1.62
5083:55,29.4,362,32.4,6,0.78
5002:10,33.3,311,39.5,10,0.77
3121:05,34.6,264,72.9,41,1.50
4973:51,20.1,314,23.9,7,0.53
3945:54,52.3,305,74.8,35,1.76
4317:16,52.7,298,80.8,67,2.68
3105:09,34.2,238,72.0,61,2.24
4751:46,49.8,333,75.9,64,2.35
4061:01,23.8,297,32.5,13,0.72
3669:58,40.1,301,67.3,40,1.62
3354:12,36.8,238,59.7,33,1.54
4083:21,37.8,316,70.6,59,1.87
3628:54,28.3,232,34.6,8,0.73
4306:52,39.6,290,73.3,63,1.91
5582:38,38.3,350,78.3,92,1.93
5509:04,40.1,355,77.8,107,2.41
4376:23,40.3,342,68.9,56,1.85
4282:27,28.9,257,35.8,14,1.01
4322:32,21.0,262,24.2,5,0.53
3194:43,37.0,354,58.7,20,1.01
4437:06,16.0,280,21.7,10,0.51
4866:26,44.4,344,68.9,48,1.66
4877:13,39.6,344,73.2,89,2.39
3187:10,35.1,277,67.9,43,1.68
4404:10,42.9,334,67.4,43,1.61
3368:28,29.7,195,31.7,2,0.57
5203:01,23.1,326,29.6,11,0.58
3537:16,33.3,318,61.0,34,1.27
4623:12,45.7,319,70.7,46,1.69
3752:44,43.6,305,66.9,38,1.74
3313:03,40.9,245,71.8,46,1.94
4222:34,46.2,342,69.0,33,1.42
4093:12,43.6,322,70.5,40,1.54
3773:59,41.3,317,74.2,51,1.83
4163:05,33.1,233,50.9,29,1.20
5653:59,47.5,370,77.6,89,2.43
3605:16,43.1,278,66.4,32,1.51
3738:38,48.9,306,70.1,29,1.54
5149:00,37.9,372,66.8,61,1.64
3570:01,18.5,232,25.4,9,0.55
5120:10,45.0,361,70.9,57,1.83
4441:28,34.4,322,70.4,68,1.80
4481:54,25.5,315,32.4,10,0.63
5612:36,22.1,334,24.3,6,0.68
5998:27,29.1,353,33.7,12,0.88
4825:47,26.2,306,33.0,14,0.85
4943:34,22.8,315,32.5,23,0.93
4166:42,21.1,275,24.2,4,0.45
3872:05,28.0,233,38.1,17,0.99
3723:17,50.0,257,85.2,90,3.51
4299:52,42.1,340,75.9,73,2.29
4743:33,22.2,293,26.7,8,0.59
5720:58,26.7,357,32.1,13,0.81
3801:04,20.3,269,25.3,8,0.63
4666:18,36.9,359,65.7,68,1.99
3927:44,28.3,275,34.5,9,0.76
5695:12,31.0,352,36.1,11,0.82
3700:15,36.0,328,63.2,31,1.17
3647:00,38.1,301,65.9,35,1.37
3052:59,38.7,232,84.9,55,1.98
4308:05,46.7,319,73.1,48,1.85
3178:55,38.0,262,68.5,28,1.19
5053:04,40.9,364,67.9,52,1.56
5034:55,37.7,355,78.8,97,2.22
4049:07,41.3,326,77.2,60,1.91
3575:20,42.1,323,80.5,51,1.80
5065:54,14.9,293,24.5,20,0.60
3562:21,40.9,288,64.2,37,1.72
4121:22,22.2,267,26.8,7,0.60
3776:26,37.1,298,70.7,47,1.57
5254:40,35.0,370,70.3,87,1.98
6903:04,21.7,375,29.8,19,0.61
4178:23,56.6,312,69.2,18,1.42
3940:28,33.3,363,65.8,37,1.14
4952:41,22.5,297,34.6,23,0.80
4570:16,25.5,288,31.0,10,0.75
4109:38,40.6,319,75.6,63,1.99
3720:32,28.8,224,37.8,14,0.95
3686:39,49.7,289,78.0,45,2.02
4034:34,20.1,231,25.0,7,0.54
3463:18,34.8,256,71.1,49,1.66
3859:05,24.0,263,29.5,8,0.67
4371:37,43.0,325,69.8,48,1.72
4383:07,19.9,288,22.4,5,0.60
3432:16,17.0,219,19.3,3,0.45
4655:20,45.6,366,76.0,66,2.13
4135:38,41.3,343,68.9,46,1.67
3984:40,36.2,333,67.7,41,1.33
4331:02,46.0,316,72.0,49,1.88
3717:10,39.2,285,71.0,56,2.02
4219:41,46.3,311,75.3,55,2.03
4023:08,33.3,338,78.9,56,1.45
6209:44,25.4,356,32.6,17,0.74
3154:39,41.6,246,73.7,44,1.92
3495:35,35.7,331,53.9,21,1.06
4261:36,33.5,299,70.2,69,1.86
4753:32,27.6,265,35.7,15,0.83
4772:48,39.7,351,75.9,72,1.90
4028:58,41.9,332,62.9,35,1.56
4386:27,19.7,313,23.9,6,0.47
3133:04,49.3,259,71.9,33,2.01
4121:30,46.5,289,75.5,58,2.20
4142:50,29.2,292,31.2,3,0.65
4911:56,30.8,297,43.2,23,0.98
4188:30,42.3,344,70.9,50,1.78
4574:13,37.6,375,66.5,50,1.51
3335:11,45.5,248,77.3,42,1.83
5584:35,20.7,313,28.8,16,0.61
5312:34,20.3,329,23.2,6,0.54
3956:02,41.5,360,67.4,35,1.38
6249:24,19.5,356,28.7,24,0.72
4731:35,33.9,356,61.5,60,1.70
