Frame (Except Culverts),Channel Beam,Girder & Floorbeam System,Tunnel,State,Movable-Bascule,Stringer /Multi-Beam or Girder
13,269,243,0,NORTH CAROLINA,4,"3,872"
3,2,21,0,WYOMING,0,320
0,54,70,3,LOUISIANA,8,"2,499"
67,1,23,0,NEW HAMPSHIRE,2,516
54,38,71,0,OREGON,6,"1,014"
0,0,7,0,ALASKA,0,282
16,163,111,0,INDIANA,0,"1,895"
43,0,91,0,VIRGINIA,2,"2,219"
80,0,134,10,MASSACHUSETTS,19,"1,739"
7,1,179,0,MINNESOTA,0,929
0,22,1,0,NORTH DAKOTA,0,744
21,0,92,0,MICHIGAN,11,"2,320"
0,0,43,0,VERMONT,2,549
39,1,11,0,ARIZONA,0,285
26,0,102,0,OKLAHOMA,0,"6,640"
16,0,24,0,PUERTO RICO,0,476
