162WL%,oWAR,Pos Summary,Rdp,dWAR
.501,25.7, ,-2,-2.2
.504,2.8,23/D,0,-0.5
.500,0.0,1,0,0.0
.500,0.0,1,0,0.0
.500,0.0,1,0,0.0
.500,0.0,/1,0,0.0
.500,0.0,1,0,0.0
.497,-0.2,2,0,0.0
.500,-0.1,1,0,0.0
.513,4.6,64,-0,0.2
.500,0.0,1,0,0.0
.500,0.0,1,0,0.0
.497,1.3,46/5,-0,0.1
.500,0.0,1,0,0.0
.500,0.0,1,0,0.0
.493,-0.3,3/D,-1,-0.4
.501,1.5,D,0,-0.8
.500,0.0,1,0,0.0
.493,-0.8,37/29,0,-0.0
.500,-0.0,/1,0,0.0
.500,0.0,/1,0,0.0
.501,1.5,57/93D,0,-0.3
.499,-0.1,D/7,0,-0.1
.504,1.4,3D/79,1,-0.1
.500,0.0,1,0,0.0
.519,5.3,*97D/8,1,-0.4
.499,1.6,2/D,-1,-0.0
.500,-0.0,1,0,0.0
.500,0.0,/1,0,0.0
