Q,F,T,L,C,J,M,V,I,O
11,159,119,0.76%,2378,0.00%,0.76%,0,0,3.98%
20,436,204,0.68%,1815,0.00%,0.68%,0,0,3.99%
107,431,119,1.58%,2964,0.00%,1.58%,0,0,0.94%
10,250,49,0.39%,2210,0.00%,0.39%,0,0,10.02%
103,512,53,0.86%,2456,0.00%,0.86%,0,0,2.54%
16,916,178,1.07%,3925,0.32%,1.39%,0,15,1.28%
0,446,111,5.65%,2230,0.00%,5.65%,0,0,3.88%
0,60,112,2.26%,1193,0.00%,2.26%,0,0,10.63%
10,252,208,0.67%,1800,0.00%,0.67%,0,0,9.85%
11,226,214,2.06%,2272,0.00%,2.06%,0,0,1.60%
0,223,278,5.06%,2730,0.00%,5.06%,0,0,4.01%
0,98,60,3.18%,1279,0.00%,3.18%,0,0,1.73%
0,200,0,1.56%,1351,0.00%,1.56%,0,0,0.68%
43,268,180,0.68%,3505,0.00%,0.68%,0,0,2.23%
41,134,76,1.58%,2296,0.00%,1.58%,0,0,12.65%
14,264,152,2.35%,2742,0.00%,2.35%,0,0,4.16%
42,186,116,0.00%,1550,0.76%,0.76%,0,14,4.81%
3,203,101,0.43%,1686,0.00%,0.43%,9,0,9.68%
19,375,438,4.87%,2284,1.01%,5.89%,0,32,3.51%
0,148,166,0.00%,1802,0.75%,0.75%,0,16,4.90%
9,224,285,1.47%,1730,0.00%,1.47%,0,0,7.69%
0,293,418,4.53%,1096,0.38%,4.91%,0,7,2.62%
20,517,91,0.39%,3008,0.33%,0.73%,0,11,0.18%
0,264,185,0.47%,2074,0.00%,0.47%,0,0,6.68%
0,451,223,1.32%,3448,0.00%,1.32%,12,0,5.17%
17,112,101,0.39%,2854,0.00%,0.39%,0,0,9.41%
0,92,39,4.96%,1995,0.00%,4.96%,0,0,2.37%
20,209,259,1.88%,1243,0.00%,1.88%,0,0,1.29%
0,329,111,4.02%,2233,0.00%,4.02%,0,0,3.84%
0,241,542,1.78%,2140,0.00%,1.78%,0,0,6.00%
36,322,540,0.62%,2350,0.00%,0.62%,0,0,4.74%
0,539,208,0.00%,2656,1.38%,1.38%,0,43,2.78%
11,116,503,4.33%,1422,0.00%,4.33%,20,0,5.56%
13,159,249,8.32%,1021,0.00%,8.32%,12,0,1.15%
9,435,216,0.00%,2380,0.00%,0.00%,0,0,2.42%
0,164,79,0.00%,1433,0.43%,0.43%,0,7,3.50%
0,188,159,0.00%,1981,0.00%,0.00%,0,0,6.96%
0,377,529,1.91%,1487,0.00%,1.91%,36,0,5.60%
16,776,156,1.49%,4068,0.68%,2.17%,0,33,3.37%
0,68,54,2.14%,597,0.00%,2.14%,0,0,6.54%
0,59,138,2.73%,1390,0.00%,2.73%,11,0,9.26%
29,337,230,0.00%,2991,0.00%,0.00%,0,0,3.02%
43,64,741,0.00%,1590,0.00%,0.00%,0,0,4.58%
0,81,137,0.00%,1199,1.35%,1.35%,0,20,6.93%
0,28,87,7.34%,1271,0.00%,7.34%,34,0,2.35%
0,347,24,3.26%,2506,0.00%,3.26%,0,0,4.48%
