Date,ORB%,TOV%
2005-02-05,4.3,9.2
2005-01-19,0.0, 
2005-03-13,0.0,5.6
2005-01-21,0.0,0.0
2004-12-27,0.0,82.0
2005-03-20,4.2,21.5
2004-12-07,0.0,0.0
2005-02-09,0.0,0.0
2004-12-04,0.0,0.0
2004-11-20,0.0, 
2005-01-08,0.0,0.0
2004-11-06,0.0,16.7
2004-11-26,0.0,33.3
2005-03-16,0.0,0.0
2005-02-13,0.0,11.3
2004-11-15,0.0,0.0
2004-12-19,0.0,13.9
2005-03-12,0.0,25.4
2004-11-03,0.0,33.3
2004-11-13,0.0,0.0
2004-11-05,4.1,20.5
2005-01-25,0.0,11.4
2004-12-06,9.8,20.0
2004-12-28,0.0, 
2005-02-11,3.1,19.6
2005-01-05,0.0,33.3
2005-02-22,0.0,0.0
2004-12-14,0.0,18.4
2005-01-28,0.0,0.0
2004-12-10,0.0,25.0
2005-03-24,0.0,0.0
2005-01-23,0.0, 
2005-02-01,3.9,11.7
2005-01-07,0.0, 
