Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Daniel Nava,Paw,41,12,19,2,0,4,12,0,0,9,4,0.463,0.566,0.805,1.371
Will Middlebrooks,Paw,42,10,16,2,1,5,13,2,0,5,8,0.381,0.447,0.833,1.28
Mauro Gomez,Paw,173,39,60,16,0,17,47,0,0,17,36,0.347,0.409,0.734,1.143
Luis Exposito,Paw,6,1,2,2,0,0,1,0,0,1,1,0.333,0.429,0.667,1.095
Jeremias Pineda,GCL,65,11,31,6,1,0,13,5,1,2,10,0.477,0.493,0.6,1.093
Ryan Kalish,PawSal,46,8,16,2,0,3,9,3,1,9,11,0.348,0.455,0.587,1.042
Mike Meyers,GCL,52,10,21,9,0,0,8,0,0,6,20,0.404,0.466,0.577,1.042
Xander Bogaerts,PorSal,244,44,82,23,2,13,50,4,2,23,49,0.336,0.401,0.607,1.008
Jeremy Hazelbaker,PawPor,247,49,83,14,5,14,47,20,7,18,52,0.336,0.398,0.603,1.001
Reynaldo Rodriguez,PawPor,177,27,51,17,3,11,39,1,2,18,44,0.288,0.359,0.605,0.963
Jackie Bradley,PorSal,240,52,79,23,2,5,39,11,1,48,49,0.329,0.44,0.504,0.945
Jesus Loya,GCL,18,1,8,1,0,0,5,3,0,0,1,0.444,0.444,0.5,0.944
J.C. Linares,PawPor,217,39,73,15,2,10,35,0,1,13,35,0.336,0.379,0.562,0.941
Keury De La Cruz,SalGre,263,36,81,21,5,10,44,13,4,14,57,0.308,0.35,0.54,0.89
Jacoby Ellsbury,PawGCL,10,4,2,0,0,1,2,0,0,3,1,0.2,0.385,0.5,0.885
Michael Almanzar,Sal,234,33,78,23,0,4,24,5,2,21,42,0.333,0.391,0.483,0.874
Marquez Smith,Por,157,28,49,13,1,5,23,2,0,12,28,0.312,0.368,0.503,0.871
Brandon Jacobs,Sal,208,36,59,19,0,8,29,12,6,28,57,0.284,0.378,0.49,0.868
Blake Swihart,Gre,157,24,47,8,4,5,31,3,2,16,30,0.299,0.358,0.497,0.855
Nate Spears,Paw,169,25,47,9,2,7,23,2,0,24,40,0.278,0.374,0.479,0.854
Travis Shaw,PorSal,231,39,64,23,1,7,37,6,0,31,69,0.277,0.367,0.476,0.843
David Chester,SalLow,100,17,29,7,0,4,15,1,0,12,25,0.29,0.363,0.48,0.843
Carl Crawford,3 Teams,20,3,7,1,0,0,1,2,0,3,3,0.35,0.435,0.4,0.835
Garin Cecchini,Gre,218,45,64,19,2,2,34,29,4,34,46,0.294,0.402,0.427,0.828
Bryce Brentz,PawPor,233,31,69,15,1,8,40,5,2,22,70,0.296,0.355,0.472,0.827
