Team,SF,POS,HR,SLG,OPS,CS,SH,R
AGU,1,OF,1,.357,0.74,2,3,34
SLT,0,OF,0,.190,0.381,0,1,0
OAX,3,OF,18,.538,0.973,8,2,76
MXO,3,DH,27,.586,0.977,3,0,78
SLT,0,RF,0,.250,0.49,0,1,3
TAB,0,OF,1,.293,0.588,1,3,10
TIJ,0,P,0,--,0.0,0,0,0
TIG,1,C,6,.376,0.694,3,6,21
YUC,4,3B,15,.497,0.884,1,1,62
AGU,1,OF,0,.331,0.677,2,2,29
TAB,0,1B,0,.317,0.601,0,0,6
VRA,0,OF,0,.161,0.39,0,1,0
CAM,4,OF,15,.508,0.874,10,2,67
TIJ,4,1B,18,.635,1.057,0,0,46
VAQ,5,1B,6,.458,0.858,4,5,48
MTY,0,2B,2,.380,0.76,2,5,69
TAB,1,2B,0,.277,0.583,0,5,12
TIJ,0,1B,7,.384,0.715,1,0,26
TAB,3,OF,1,.279,0.598,5,5,35
SLP,3,LF,2,.314,0.58,3,1,17
PUE,8,OF,15,.548,0.986,4,2,89
VRA,1,OF,4,.522,0.941,0,1,28
TAB,4,DH,11,.493,0.92,5,0,36
MVA,1,C,7,.416,0.742,0,3,32
MTY,6,3B,30,.683,1.161,1,0,92
MXO,0,SS,2,.465,0.88,2,5,32
VRA,0,OF,1,.297,0.655,3,2,32
VAQ,1,C,2,.370,0.67,1,5,21
MVA,1,SS,0,.303,0.586,0,1,13
TAB,1,OF,0,.300,0.601,4,1,18
COR,0,OF,8,.445,0.797,7,4,45
OAX,5,C,1,.378,0.718,1,5,35
AGU,0,C,0,.111,0.349,0,0,2
TAB,1,2B,1,.353,0.739,0,1,12
VRA,0,C,0,.000,0.0,0,0,0
AGU,0,SS,0,.333,0.644,1,2,5
AGU,0,C,0,.118,0.348,0,0,0
MXO,1,C,1,.342,0.616,1,1,10
VAQ,4,1B,10,.415,0.777,1,2,56
TIG,1,C,2,.403,0.767,5,7,36
TIJ,0,P,0,--,0.0,0,0,0
TIJ,1,1B,1,.397,0.83,2,3,51
MXO,2,1B,17,.519,0.932,0,0,59
MXO,0,P,0,--,0.0,0,0,0
TIJ,3,CF,6,.450,0.851,5,6,61
YUC,1,2B,5,.401,0.78,9,4,55
MTY,2,C,8,.513,0.919,3,3,43
SLP,3,C,2,.386,0.726,0,3,20
TIJ,1,OF,3,.406,0.79,0,2,31
OAX,0,C,4,.483,0.831,1,0,12
SLT,1,LF,0,.269,0.574,0,0,8
CAM,1,1B,8,.440,0.858,0,0,44
MXO,0,C,2,.436,0.841,2,0,20
CAM,2,C,4,.335,0.711,1,1,23
MTY,4,SS,5,.435,0.834,6,7,64
SLT,0,P,0,--,0.0,0,0,0
CAM,1,C,3,.333,0.623,1,1,12
TIG,7,2B,1,.360,0.713,2,5,75
PUE,0,OF,0,.000,0.0,0,0,0
TIJ,4,1B,19,.520,0.874,2,0,61
MTY,2,3B,0,.325,0.714,3,2,16
TIJ,1,SS,4,.328,0.682,0,6,37
TAB,1,1B,1,.286,0.583,0,0,4
MVA,3,1B,10,.551,1.025,4,2,53
MXO,0,3B,7,.435,0.792,1,1,37
SLT,3,3B,12,.545,0.941,0,4,71
SLT,4,3B,25,.577,0.996,0,0,79
CAM,0,OF,0,.217,0.467,0,0,4
MXO,0,OF,0,.000,0.0,0,0,3
CAM,0,2B,0,.263,0.526,0,0,3
SLT,3,OF,8,.389,0.692,0,2,33
PUE,0,C,6,.388,0.693,1,2,27
VAQ,0,P,0,--,0.0,0,0,0
OAX,1,C,2,.391,0.725,0,0,9
TIJ,0,LF,19,.716,1.211,0,0,68
TIG,4,OF,6,.477,0.869,8,4,52
CAM,2,1B,7,.375,0.707,1,2,31
TIG,3,SS,23,.675,1.12,2,1,71
