MP,Age,Rk,Opp,G,AST%,TOV%
1:00,22-282,39,SAS,39,100.0, 
32:00,22-319,53,CLE,53,40.3,24.1
32:00,22-318,52,CLE,52,16.0,0.0
22:00,22-253,29,MIA,29,21.8,29.1
3:00,22-157,1,IND,1,53.3,0.0
14:00,22-245,27,LAL,27,28.4,17.0
7:00,22-273,37,IND,37,33.2,0.0
16:00,22-239,23,CHI,23,0.0,34.0
26:00,22-312,50,MIL,50,22.3,40.0
9:00,22-242,25,MIA,25,0.0,40.0
5:00,22-195,12,CHH,12,0.0, 
7:00,22-207,15,NYK,15,0.0, 
9:00,22-244,26,SAC,26,21.3,0.0
9:00,22-186,9,ORL,9,37.2,66.7
4:00,22-266,34,SAC,34,0.0,0.0
1:00,22-172,6,MIL,6,0.0,0.0
8:00,22-183,8,MIA,8,18.8,20.0
5:00,22-300,45,WSB,45,0.0,50.0
19:00,22-235,21,ATL,21,18.8,8.3
