Date,Opponent,Score,pts,rush,rec,kr,pr,int,fum,xpm,fgm,saf,misc,2pt
Sep 7,Susquehanna,"W, 35-28",0,-,-,-,-,-,-,-,-,-,-,-
Sep 14,Coast Guard,"W, 27-20",0,-,-,-,-,-,-,-,-,-,-,-
Sep 21,at SUNY Maritime,"W, 7-6",0,-,-,-,-,-,-,-,-,-,-,-
Sep 28,#5/7 Hobart,"L, 24-8",0,-,-,-,-,-,-,-,-,-,-,-
Oct 5,at Rensselaer, ,-,-,-,-,-,-,-,-,-,-,-,-
Oct 12,at Rochester (N.Y.), ,-,-,-,-,-,-,-,-,-,-,-,-
Oct 19,Springfield, ,-,-,-,-,-,-,-,-,-,-,-,-
Oct 26,at WPI,"W, 26-14",0,-,-,-,-,-,-,-,-,-,-,-
Nov 2,at Rensselaer,"L, 28-13",0,-,-,-,-,-,-,-,-,-,-,-
Nov 9,Union (NY),"L, 27-14",0,-,-,-,-,-,-,-,-,-,-,-
Nov 16,at St. Lawrence,"L, 31-0",0,-,-,-,-,-,-,-,-,-,-,-
