Team,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
Binghamton,0.278,142,4699,718,1304,273,23,122,668,492,1005,77,42,12,49,114,0.353,0.423,0.776
Bowie,0.275,142,4841,652,1330,268,21,109,600,411,839,46,29,27,50,142,0.333,0.406,0.739
Erie,0.273,142,4771,655,1301,278,27,113,604,408,907,117,49,39,43,95,0.332,0.413,0.745
Portland,0.268,142,4611,658,1234,256,30,105,613,461,1010,108,57,32,41,105,0.341,0.404,0.746
Altoona,0.265,142,4672,632,1236,231,43,124,575,457,1155,159,77,59,36,103,0.333,0.412,0.745
Akron,0.261,142,4744,604,1239,234,39,74,557,436,1020,114,48,21,53,99,0.325,0.374,0.699
Trenton,0.256,142,4813,607,1232,252,37,99,564,441,927,75,34,28,30,126,0.323,0.385,0.709
Richmond,0.256,142,4691,586,1200,207,37,74,525,453,1068,168,51,36,40,102,0.329,0.363,0.692
New Britain,0.254,142,4658,599,1182,283,24,100,564,402,1032,98,39,28,43,74,0.319,0.389,0.708
Reading,0.25,142,4705,558,1178,222,27,103,518,367,944,80,49,57,28,89,0.313,0.375,0.687
Harrisburg,0.248,142,4729,580,1171,203,21,113,538,491,1165,145,49,38,41,105,0.32,0.371,0.691
New Hampshire,0.245,142,4731,571,1159,236,36,114,529,352,996,125,62,31,42,78,0.302,0.382,0.685
