Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
P Borders,VER,C,.181,20,72,6,13,3,0,1,7,5,13,0,0,0,0,3,.234,.264,.498
S Fasano,CLR,C,.083,4,12,0,1,0,0,0,1,0,1,0,0,0,0,1,.083,.083,.167
C Floyd,STL,OF,.400,3,10,2,4,0,0,2,4,1,3,0,0,0,0,0,.455,1.000,1.455
Q McCracken,SAR,CF,.500,4,16,3,8,0,1,0,0,0,0,0,0,0,0,0,.500,.625,1.125
R Sierra,FTM,RF,.250,3,12,2,3,1,0,0,1,1,3,0,0,0,0,0,.308,.333,.641
G Zaun,DUN,C,.000,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000
J LaRue,SAR,C,.167,3,12,1,2,0,0,0,1,1,3,0,0,0,0,1,.231,.167,.397
B Davis,TAM,C,.188,4,16,2,3,1,0,1,2,1,4,0,0,0,0,2,.235,.438,.673
J Melian,LAK,OF,.226,9,31,3,7,0,1,0,3,0,6,0,0,0,1,0,.242,.290,.533
N Jackson,DAY,OF,.275,18,69,12,19,3,3,2,7,8,15,6,2,0,0,2,.375,.493,.868
V Hall,TAM,OF,.320,63,247,48,79,11,5,4,19,29,46,35,8,6,2,2,.406,.453,.859
C Mendoza,TAM,SS,.270,31,115,19,31,4,0,4,16,11,18,3,4,3,2,0,.328,.409,.737
D Moylan,PMB,C,.267,6,15,1,4,0,0,0,4,6,3,0,0,0,0,1,.476,.267,.743
B Crosby,TAM,OF,.125,3,8,0,1,0,0,0,0,1,2,0,0,0,0,1,.300,.125,.425
K Matsui,STL,2B,.286,2,7,1,2,0,0,0,0,1,0,0,0,0,0,0,.375,.286,.661
B Sellier,CLR,LF,.245,70,249,31,61,9,4,6,24,26,31,7,1,3,2,4,.317,.386,.702
J Sprowl,DAY,C,.118,16,51,2,6,1,0,0,5,3,5,0,0,0,1,3,.164,.137,.301
M Pagnozzi,PMB,C,.216,77,268,25,58,15,3,3,27,20,67,0,1,2,0,4,.283,.328,.612
R Diaz,DUN,C,.306,104,418,59,128,21,1,3,44,20,37,8,1,4,2,20,.341,.383,.724
M Williams,SAR,OF,.221,75,235,40,52,13,2,8,25,30,88,35,9,5,2,2,.312,.396,.708
A Concepcion,STL,OF,.287,71,282,38,81,21,2,1,33,25,67,18,9,4,4,10,.343,.387,.729
A Hernandez,STL,2B,.111,2,9,0,1,0,0,0,0,0,1,0,0,0,0,0,.111,.111,.222
J Hermida,JUP,OF,.176,6,17,3,3,1,0,0,2,3,7,0,0,0,0,0,.300,.235,.535
J Motte,PMB,C,.133,9,30,0,4,0,0,0,3,2,11,0,0,1,0,0,.188,.133,.321
I Rojas,TAM,C,.244,13,41,2,10,1,0,0,2,3,7,0,1,1,0,1,.295,.268,.564
J Flores,STL,C,.266,120,429,66,114,32,0,21,70,28,127,2,0,2,3,6,.335,.487,.822
J Winchester,CLR,C,.160,35,94,11,15,4,0,2,8,11,23,0,1,1,0,3,.295,.266,.561
F Moore,JUP,2B,.421,5,19,2,8,3,0,0,1,3,3,0,1,0,1,0,.478,.579,1.057
J Brown,TAM,C,.188,5,16,1,3,0,0,0,2,3,4,0,0,0,0,0,.316,.188,.503
V Mendez,LAK,OF,.281,46,171,25,48,11,3,4,24,18,44,8,2,0,1,2,.347,.450,.798
R Laya,PMB,SS,.259,55,189,24,49,2,0,0,21,10,16,12,3,7,2,3,.294,.270,.563
H Made,CLR,2B,.267,114,419,42,112,24,2,4,32,15,64,6,8,5,2,10,.291,.363,.654
K Phillips,BRE,C,.236,58,216,13,51,4,0,3,35,21,40,1,1,2,2,9,.304,.296,.600
J Murray,BRE,SS,.211,29,95,13,20,2,0,2,6,12,32,0,0,1,1,1,.315,.295,.610
A Graham,LAK,C,.127,27,63,6,8,0,0,0,2,8,17,1,1,2,0,1,.257,.127,.384
J Armstrong,DUN,SS,.154,23,78,7,12,1,0,0,6,5,13,1,1,0,0,3,.224,.167,.390
J Blaquiere,STL,C,.250,2,4,1,1,0,0,0,0,1,2,0,0,1,0,0,.400,.250,.650
B Malek,STL,OF,.318,6,22,3,7,3,0,0,1,2,3,1,0,0,0,2,.375,.455,.830
J Fox,DAY,C,.313,66,249,45,78,15,1,16,61,27,49,4,1,1,8,4,.383,.574,.957
J Cruz,STL,2B,.278,98,335,37,93,22,3,5,42,39,69,6,0,5,2,5,.360,.406,.766
A Escobar,BRE,SS,.257,87,350,47,90,9,1,2,33,19,56,28,8,7,7,4,.296,.306,.601
B Jones,TAM,1B,.125,13,40,3,5,1,0,1,4,6,17,0,1,0,0,1,.255,.225,.480
B Toops,PMB,C,.194,12,36,1,7,1,0,0,2,5,12,0,0,0,1,0,.286,.222,.508
C Lisk,JUP,C,.000,4,6,0,0,0,0,0,0,1,2,0,0,0,0,0,.143,.000,.143
C Westervelt,VER,C,.225,41,129,18,29,3,0,6,20,16,41,2,1,4,4,3,.302,.388,.690
B Cleveland,JUP,2B,.238,63,240,29,57,14,0,1,17,14,41,7,3,8,3,3,.295,.308,.604
M Tolbert,FTM,SS,.303,40,155,20,47,6,3,4,24,14,17,7,2,1,2,4,.360,.458,.819
J Culpepper,DAY,OF,.263,76,251,41,66,12,1,1,21,25,48,9,11,1,2,6,.335,.331,.665
D Jackson,VER,OF,.211,10,19,3,4,0,0,1,1,1,10,0,0,0,0,0,.286,.368,.654
T Gutierrez,SAR,1B,.283,92,325,49,92,17,4,2,34,55,60,4,0,2,0,6,.396,.378,.775
P Ramos,CLR,2B,.288,60,236,32,68,7,2,1,20,24,38,8,5,1,2,7,.361,.347,.708
J Purdom,SAR,C,.233,98,326,36,76,14,2,2,35,18,54,1,5,2,6,8,.301,.307,.607
A Casanova,LAK,C,.149,25,74,6,11,4,0,0,5,11,26,1,1,3,1,2,.264,.203,.467
R Patterson,DUN,OF,.288,84,354,65,102,25,0,19,69,20,61,2,4,4,1,6,.327,.520,.847
J Burke,TAM,C,.293,29,82,13,24,5,0,0,9,10,8,2,1,2,1,2,.366,.354,.719
D Cummins,STL,C,.204,18,49,5,10,2,0,2,13,6,9,0,1,0,0,3,.291,.367,.658
P Witt,JUP,SS,.108,15,37,3,4,0,0,0,1,0,10,1,0,2,0,1,.132,.108,.240
B Katin,BRE,OF,.289,116,450,64,130,34,3,13,75,34,112,4,6,0,3,11,.349,.464,.813
C Coles,STL,OF,.341,124,458,65,156,26,4,1,45,48,59,21,9,9,2,6,.407,.421,.829
C Patton,DUN,OF,.247,61,235,28,58,10,2,11,44,16,59,4,2,0,3,2,.294,.447,.741
S Sollmann,BRE,2B,.284,97,345,51,98,16,0,1,38,45,37,13,4,6,2,5,.394,.339,.733
S Williams,PMB,OF,.154,26,65,10,10,1,0,5,8,12,35,1,0,1,0,1,.295,.400,.695
M Schramek,SAR,3B,.185,8,27,1,5,1,0,0,2,4,7,0,0,0,0,1,.290,.222,.513
T Piazza,STL,C,.239,16,46,4,11,1,0,2,4,8,17,0,0,1,0,0,.352,.391,.743
E Andrus,FTM,OF,.207,56,198,26,41,7,3,5,30,16,39,1,2,1,1,8,.272,.348,.620
I Salas,DAY,2B,.313,28,83,12,26,8,0,0,7,7,16,1,1,1,0,0,.374,.410,.783
J Essian,LAK,OF,.251,82,239,39,60,19,4,4,22,44,75,17,8,0,2,4,.365,.414,.779
M Dryer,PMB,3B,.272,80,301,51,82,17,0,14,54,22,92,1,1,0,3,2,.329,.468,.798
K West,FTM,OF,.222,6,18,2,4,1,0,1,8,6,2,0,0,0,1,0,.400,.444,.844
D Brinkley,JUP,OF,.234,116,406,64,95,19,4,8,48,53,139,34,13,4,5,1,.347,.360,.707
J Martinez,FTM,P,.000,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,.500,.000,.500
B Carroll,JUP,OF,.241,59,216,31,52,12,1,8,30,18,48,9,3,0,1,3,.324,.417,.740
M Ferris,PMB,1B,.205,99,341,48,70,18,1,8,38,47,105,0,2,2,2,7,.305,.334,.640
D Nicholson,VER,2B,.285,106,361,54,103,16,5,1,28,39,81,23,11,7,2,8,.358,.366,.724
M Thayer,CLR,OF,.235,76,247,28,58,11,1,2,18,30,54,14,7,6,3,7,.317,.312,.628
G Psomas,JUP,3B,.291,92,358,39,104,25,0,8,53,28,64,7,2,0,5,11,.341,.427,.768
J Garthwaite,SAR,OF,.262,125,450,62,118,28,3,21,72,39,125,6,7,1,4,1,.333,.478,.811
J Spearman,DAY,3B,.279,131,491,70,137,29,5,3,52,57,84,21,5,16,5,13,.361,.377,.738
A Rick,DAY,DH,.242,77,240,25,58,12,1,8,45,18,64,0,2,2,4,5,.298,.400,.698
J Francia,LAK,2B,.297,35,138,17,41,3,0,0,9,7,19,15,7,3,1,2,.338,.319,.657
J Malo,STL,2B,.239,91,284,42,68,13,1,7,33,34,53,3,3,3,2,7,.333,.366,.700
H Rasheed,BRE,OF,.238,51,160,18,38,1,1,0,12,22,53,4,3,3,0,6,.330,.256,.586
Y Lasso,SAR,2B,.067,7,15,0,1,0,0,0,0,0,3,0,0,0,0,0,.067,.067,.133
C Strait,SAR,OF,.258,131,489,85,126,36,4,17,74,36,108,50,9,2,3,6,.325,.452,.777
J Lex,DUN,C,.333,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,.500,.333,.833
C Piste,JUP,2B,.218,67,211,27,46,8,2,2,19,18,54,3,4,8,2,5,.289,.303,.593
J Patino,LAK,SS,.000,3,5,0,0,0,0,0,0,0,2,0,0,0,0,0,.000,.000,.000
K Nelson,TAM,C,.000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000
X Paul,VER,OF,.285,120,470,62,134,23,3,13,49,38,114,22,15,7,1,10,.343,.430,.773
A Raglani,VER,OF,.317,17,63,10,20,4,1,1,7,10,10,0,1,0,0,2,.419,.460,.879
A Gaerlan,STL,SS,.000,6,14,2,0,0,0,0,0,2,2,0,1,3,0,0,.125,.000,.125
G Golson,CLR,OF,.264,40,159,31,42,11,2,6,17,11,53,7,3,1,0,3,.324,.472,.795
B Hansen,CLR,1B,.270,102,352,37,95,17,0,4,55,47,53,0,2,6,7,6,.356,.352,.708
J Kreuzer,DUN,1B,.257,52,187,30,48,19,0,7,31,21,46,1,0,0,1,4,.352,.471,.822
C Corporan,BRE,C,.270,86,282,29,76,14,0,3,38,13,45,0,2,5,3,8,.321,.351,.672
C Fermaint,BRE,OF,.276,110,424,67,117,20,4,7,33,42,119,27,14,1,4,8,.349,.392,.741
R Davenport,DUN,OF,.321,56,237,42,76,24,0,11,40,12,34,2,0,0,2,5,.358,.561,.919
T Rogers,JUP,C,.143,15,21,2,3,0,0,0,0,2,6,4,0,0,0,0,.217,.143,.360
A Mathews,DUN,OF,.282,111,461,68,130,23,5,9,38,35,58,9,7,1,3,9,.332,.412,.744
H Hernandez,SAR,3B,.316,5,19,1,6,1,0,0,1,0,4,1,0,0,0,1,.316,.368,.684
I Naccarata,STL,2B,.273,13,44,7,12,3,0,1,4,2,10,1,0,1,1,0,.298,.409,.707
C Kroski,SAR,C,.215,61,191,15,41,10,0,2,15,9,52,1,0,2,1,3,.260,.298,.558
G Harris,CLR,OF,.385,3,13,3,5,0,0,0,0,0,4,0,0,0,0,0,.385,.385,.769
S Pedroza,VER,OF,.154,13,39,7,6,2,0,3,9,8,18,0,0,0,1,1,.292,.436,.728
Y Garcia,STL,C,.219,13,32,7,7,3,0,0,2,8,9,0,0,0,0,2,.405,.313,.717
J Restko,JUP,OF,.255,87,314,30,80,10,1,6,34,26,70,0,1,0,1,9,.325,.350,.675
C Dunlap,VER,1B,.261,89,284,43,74,15,0,14,47,88,69,0,1,1,4,8,.435,.461,.897
R Russ,VER,OF,.223,33,103,13,23,2,0,0,9,6,30,3,0,2,0,1,.286,.243,.528
C Medlin,BRE,C,.220,49,159,12,35,6,0,2,19,25,58,1,0,0,1,5,.335,.296,.631
D Ambrosini,JUP,OF,.165,38,103,8,17,4,1,1,8,6,31,1,2,0,2,3,.221,.252,.474
B Himes,TAM,OF,.227,92,299,35,68,10,4,5,26,23,91,3,7,3,3,4,.284,.338,.622
D Majewski,DUN,OF,.271,64,221,38,60,16,2,7,41,49,39,3,3,0,4,8,.398,.457,.855
D Anderson,SAR,2B,.300,83,327,48,98,19,9,4,31,29,51,7,4,3,0,3,.360,.450,.810
B Bormaster,DUN,C,.000,2,5,0,0,0,0,0,0,0,2,0,0,0,0,1,.000,.000,.000
J Pickrel,FTM,OF,.231,93,316,44,73,11,10,4,36,35,119,12,4,0,3,7,.309,.367,.676
P Pilittere,TAM,C,.302,87,291,39,88,14,2,5,38,20,24,3,2,5,2,13,.355,.416,.771
C Stewart,STL,OF,.259,74,243,38,63,17,2,14,42,24,52,1,1,2,2,2,.343,.519,.861
J Figueroa,JUP,1B,.207,77,241,27,50,9,1,8,35,26,78,3,3,1,3,6,.284,.353,.637
J Gaston,JUP,OF,.167,6,12,1,2,0,0,0,2,1,4,0,0,1,0,0,.231,.167,.397
R Mitchell,VER,3B,.277,22,83,12,23,8,0,4,16,4,14,1,1,2,1,1,.315,.518,.833
W Swackhamer,PMB,OF,.210,22,62,6,13,1,1,0,9,9,15,4,2,1,1,0,.306,.258,.564
B Davis,JUP,C,.262,106,347,43,91,21,1,4,46,34,62,5,5,7,1,8,.336,.363,.699
B McCann,JUP,1B,.231,121,458,47,106,23,0,12,40,32,108,3,5,0,1,10,.288,.360,.649
S Gendron,JUP,2B,.223,86,273,19,61,6,1,0,14,16,78,8,5,4,3,2,.271,.253,.524
S Bowman,STL,3B,.252,32,119,17,30,5,1,3,19,8,39,0,0,0,2,0,.311,.387,.697
M Vechionacci,TAM,3B,.178,36,135,15,24,3,1,1,15,11,29,1,2,0,2,6,.242,.237,.479
J Moran,SAR,OF,.372,10,43,5,16,2,0,0,3,2,5,4,4,0,0,0,.413,.419,.832
M Ciaramella,DAY,OF,.219,64,228,20,50,9,0,2,29,14,47,1,2,4,2,6,.262,.285,.547
C Ehlers,TAM,1B,.298,134,497,68,148,38,1,18,106,64,88,5,3,0,9,9,.375,.487,.862
L Cotto,PMB,SS,.185,20,65,10,12,3,0,0,4,6,19,0,1,0,0,0,.264,.231,.495
E Gonzalez,JUP,2B,.293,21,75,10,22,8,0,2,10,6,18,1,3,1,1,1,.341,.480,.821
M Costanzo,CLR,3B,.258,135,504,72,130,33,1,14,81,74,133,3,2,2,2,8,.364,.411,.775
B Florence,CLR,OF,.327,130,496,46,162,30,2,7,86,31,62,6,3,0,10,14,.372,.438,.810
R Barthelemy,PMB,3B,.270,121,463,64,125,29,7,14,68,50,87,1,3,0,0,11,.349,.454,.802
M Dzurilla,CLR,2B,.217,30,120,13,26,5,1,0,6,9,11,1,1,0,2,4,.273,.275,.548
R Coultas,STL,1B,.146,50,144,10,21,3,0,0,8,7,31,3,0,3,2,4,.183,.167,.350
S Fuld,DAY,OF,.300,89,353,63,106,19,6,4,40,40,54,22,3,6,1,6,.378,.422,.801
B Key,SAR,3B,.188,7,16,2,3,1,0,0,1,2,4,0,0,0,0,3,.278,.250,.528
B Peterson,FTM,1B,.291,121,447,65,130,21,4,21,75,40,93,6,6,0,5,7,.356,.497,.853
B Ryan,PMB,SS,.429,3,14,2,6,1,0,0,1,0,2,1,0,0,0,0,.429,.500,.929
R Klosterman,DUN,SS,.287,85,321,55,92,27,3,12,64,24,78,19,0,0,1,7,.350,.502,.852
T Lawhorn,SAR,3B,.224,91,326,32,73,10,2,4,28,16,66,4,7,2,0,6,.265,.304,.568
E Varela,JUP,3B,.160,32,100,5,16,5,0,1,6,7,24,0,0,0,0,3,.222,.240,.462
J Woodard,FTM,1B,.181,23,72,11,13,2,0,2,8,6,27,0,0,0,2,1,.256,.292,.548
N McIntyre,LAK,2B,.283,94,315,36,89,11,3,7,35,26,68,14,4,5,5,3,.340,.403,.743
J Roberts,SAR,1B,.155,34,97,10,15,3,0,2,5,9,36,0,0,0,0,1,.226,.247,.474
Y Bucce,STL,C,.364,4,11,1,4,1,0,0,3,1,3,0,0,0,1,0,.385,.455,.839
N Corredor,BRE,C,.183,22,71,5,13,2,0,0,6,4,14,0,0,1,0,1,.227,.211,.438
H Iribarren,BRE,2B,.319,108,398,50,127,12,4,2,50,39,57,19,15,11,6,8,.376,.384,.761
M Carson,TAM,OF,.243,40,136,15,33,4,1,8,21,21,31,5,3,3,3,4,.346,.463,.809
T Parker,PMB,OF,.191,20,68,9,13,4,0,2,6,9,23,0,1,0,1,4,.282,.338,.620
Z Norman,CLR,C,.200,14,40,6,8,2,0,1,8,0,16,0,0,0,1,0,.233,.325,.558
M Carp,STL,1B,.287,137,491,69,141,27,1,17,88,51,107,2,1,0,6,13,.379,.450,.829
B DeWitt,VER,3B,.268,106,425,61,114,18,1,18,61,45,79,8,5,0,5,8,.339,.442,.781
J Frazier,LAK,OF,.228,135,526,61,120,21,1,13,73,37,88,12,3,0,7,25,.279,.346,.625
R Pena,TAM,SS,.280,54,218,31,61,4,2,0,23,16,26,8,4,4,4,2,.335,.317,.651
D Corrente,DUN,C,.319,35,116,13,37,7,0,7,31,7,19,0,0,1,3,5,.354,.560,.915
G Guzman,FTM,OF,.274,65,259,35,71,9,1,8,51,15,31,1,1,0,6,4,.310,.409,.719
A Weston,DAY,OF,.241,48,174,33,42,4,1,2,13,13,36,4,0,0,0,3,.305,.310,.616
P Gentry,SAR,OF,.223,86,264,11,59,14,2,0,23,6,50,3,4,2,3,11,.241,.292,.533
J Miller,JUP,OF,.209,111,344,40,72,16,2,0,24,45,115,24,10,5,2,5,.308,.267,.576
