POS,OPS,AVG,BB,SLG,2B,OBP,AB
3B,0.408,0.169,3,0.208,0,0.2,77
3B,0.787,0.298,15,0.417,20,0.37,235
3B,0.821,0.143,1,0.571,0,0.25,7
3B,0.633,0.222,1,0.333,1,0.3,9
3B,0.857,0.3,31,0.472,19,0.385,250
3B,0.943,0.323,10,0.542,10,0.402,96
1B,0.0,0.0,0,0.0,0,0.0,4
1B,0.658,0.246,18,0.315,3,0.342,130
1B,0.0,0.0,0,0.0,0,0.0,9
3B,0.643,0.237,23,0.311,7,0.332,219
1B,0.803,0.256,20,0.457,15,0.346,234
3B,1.517,0.5,2,0.929,4,0.588,14
3B,0.704,0.256,37,0.346,13,0.357,234
3B,0.476,0.2,1,0.233,1,0.242,30
3B,0.667,0.26,14,0.336,7,0.331,131
1B,0.4,0.133,0,0.267,2,0.133,15
3B,0.649,0.278,1,0.333,1,0.316,18
3B,0.82,0.29,42,0.438,23,0.382,272
3B,0.525,0.215,4,0.281,8,0.244,121
3B,0.611,0.238,13,0.332,11,0.279,265
3B,0.594,0.221,17,0.279,6,0.314,154
3B,1.127,0.429,3,0.571,2,0.556,14
1B,0.915,0.341,18,0.52,19,0.395,246
3B,0.556,0.2,3,0.311,1,0.245,45
