Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
J.C. Linares,Por,55,8,23,4,0,1,11,0,1,8,11,0.418,0.5,0.545,1.045
Xander Bogaerts,Por,28,2,11,4,0,1,4,1,0,0,8,0.393,0.393,0.643,1.036
Carl Crawford,Por,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0
Ryan Kalish,Por,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0
Kolbrin Vitek,Por,49,9,14,4,1,1,3,0,0,9,11,0.286,0.397,0.469,0.866
Travis Shaw,Por,24,2,5,2,0,1,3,0,0,9,10,0.208,0.441,0.417,0.858
Bryce Brentz,Por,137,16,42,7,1,6,21,2,0,8,39,0.307,0.342,0.504,0.846
Zach Gentile,Por,42,5,13,4,0,0,4,0,0,2,6,0.31,0.356,0.405,0.76
Reynaldo Rodriguez,Por,91,10,21,4,3,3,14,2,0,11,24,0.231,0.317,0.44,0.757
Shannon Wilkerson,Por,27,4,9,1,0,0,1,1,0,1,3,0.333,0.357,0.37,0.728
Jeremy Hazelbaker,Por,121,17,30,6,2,3,18,7,3,10,37,0.248,0.308,0.405,0.713
Matt Spring,Por,65,4,15,1,0,3,9,0,1,7,25,0.231,0.315,0.385,0.7
Ronald Bermudez,Por,52,5,16,3,0,0,3,3,0,2,10,0.308,0.333,0.365,0.699
Jackie Bradley,Por,54,7,11,5,0,1,12,2,0,11,16,0.204,0.328,0.352,0.68
Peter Hissey,Por,63,7,17,4,0,0,5,5,0,7,17,0.27,0.338,0.333,0.671
Dan Butler,Por,77,6,16,2,0,3,7,0,0,6,18,0.208,0.282,0.351,0.633
Marquez Smith,Por,74,7,16,4,0,1,5,0,0,7,20,0.216,0.31,0.311,0.62
Drew Hedman,Por,24,3,3,0,0,2,2,0,0,3,13,0.125,0.222,0.375,0.597
Nick Natoli,Por,24,2,5,1,0,0,0,0,0,5,5,0.208,0.345,0.25,0.595
Ryan Dent,Por,93,14,21,2,0,2,8,0,1,6,26,0.226,0.277,0.312,0.589
Christian Vazquez,Por,23,3,5,1,0,0,1,0,0,3,2,0.217,0.308,0.261,0.569
Derrik Gibson,Por,121,13,26,4,1,0,5,5,1,12,30,0.215,0.294,0.264,0.559
Oscar Tejeda,Por,61,5,12,3,0,1,7,1,0,5,19,0.197,0.258,0.295,0.553
Jayson Hernandez,Por,5,0,1,0,0,0,0,0,0,1,2,0.2,0.333,0.2,0.533
Heiker Meneses,Por,45,7,9,0,0,0,4,0,0,3,14,0.2,0.265,0.2,0.465
