oppRPA+,NAME,oppTAv,SLG,AVG,YEAR,AGE,TEAM,oppOPS
99,Tom Gorzelanny,0.259,0.388,0.241,2013,30,MIL,0.712
101,Anibal Sanchez,0.261,0.33,0.229,2013,29,DET,0.706
104,Matt Garza,0.265,0.436,0.271,2013,29,TEX,0.718
97,Jeff Samardzija,0.257,0.411,0.255,2013,28,CHN,0.706
105,Tommy Hunter,0.266,0.357,0.223,2013,26,BAL,0.723
102,Doug Fister,0.262,0.381,0.281,2013,29,DET,0.709
100,Gerrit Cole,0.26,0.336,0.253,2013,22,PIT,0.711
92,Kris Medlen,0.251,0.398,0.258,2013,27,ATL,0.685
98,Tim Lincecum,0.257,0.389,0.248,2013,29,SFN,0.709
111,Dallas Keuchel,0.272,0.458,0.297,2013,25,HOU,0.736
93,Madison Bumgarner,0.252,0.307,0.203,2013,23,SFN,0.694
110,Hiroki Kuroda,0.271,0.392,0.249,2013,38,NYA,0.741
105,James Shields,0.266,0.369,0.251,2013,31,KCA,0.721
108,Scott Feldman,0.27,0.378,0.235,2013,30,BAL,0.736
109,Brad Peacock,0.27,0.455,0.241,2013,25,HOU,0.725
103,Joe Blanton,0.264,0.547,0.317,2013,32,ANA,0.713
91,Paul Maholm,0.25,0.431,0.28,2013,31,ATL,0.683
107,Felix Hernandez,0.268,0.357,0.242,2013,27,SEA,0.728
108,Dylan Axelrod,0.269,0.519,0.318,2013,27,CHA,0.727
94,Hyun-jin Ryu,0.253,0.361,0.252,2013,26,LAN,0.691
97,Nathan Eovaldi,0.257,0.363,0.249,2013,23,MIA,0.708
93,Wade Miley,0.252,0.404,0.261,2013,26,ARI,0.692
98,Jason Marquis,0.258,0.426,0.257,2013,34,SDN,0.706
98,Carlos Torres,0.258,0.414,0.242,2013,30,NYN,0.709
105,Todd Redmond,0.266,0.451,0.239,2013,28,TOR,0.725
104,Nick Tepesch,0.265,0.427,0.272,2013,24,TEX,0.716
95,Dillon Gee,0.254,0.423,0.268,2013,27,NYN,0.702
108,Adam Warren,0.269,0.428,0.268,2013,25,NYA,0.727
95,Kevin Slowey,0.255,0.481,0.291,2013,29,MIA,0.696
107,Chris Sale,0.268,0.354,0.23,2013,24,CHA,0.724
95,Jacob Turner,0.254,0.402,0.262,2013,22,MIA,0.7
95,Brandon Mccarthy,0.254,0.432,0.296,2013,29,ARI,0.699
109,Esmil Rogers,0.271,0.461,0.279,2013,27,TOR,0.737
106,Andy Pettitte,0.267,0.411,0.275,2013,41,NYA,0.727
109,Garrett Richards,0.27,0.377,0.269,2013,25,ANA,0.729
98,Jose Fernandez,0.258,0.265,0.182,2013,20,MIA,0.71
107,Lucas Harrell,0.268,0.453,0.289,2013,28,HOU,0.728
93,Gio Gonzalez,0.252,0.363,0.231,2013,27,WAS,0.685
111,Ivan Nova,0.273,0.348,0.258,2013,26,NYA,0.741
95,Stephen Strasburg,0.254,0.307,0.207,2013,24,WAS,0.695
107,Jordan Lyles,0.268,0.451,0.285,2013,22,HOU,0.731
96,Jeff Locke,0.255,0.35,0.242,2013,25,PIT,0.694
102,Nate Jones,0.262,0.351,0.247,2013,27,CHA,0.706
91,Eric Stults,0.25,0.421,0.274,2013,33,SDN,0.685
93,Charlie Morton,0.251,0.344,0.261,2013,29,PIT,0.686
95,Barry Zito,0.254,0.491,0.318,2013,35,SFN,0.7
104,John Lackey,0.265,0.413,0.247,2013,34,BOS,0.723
104,Drew Smyly,0.265,0.336,0.219,2013,24,DET,0.715
97,Adam Wainwright,0.256,0.356,0.248,2013,31,SLN,0.703
108,Josh Johnson,0.27,0.488,0.305,2013,29,TOR,0.738
107,Jered Weaver,0.268,0.382,0.237,2013,30,ANA,0.729
106,Jon Lester,0.267,0.389,0.253,2013,29,BOS,0.726
112,Brandon Maurer,0.274,0.516,0.311,2013,22,SEA,0.74
96,Edinson Volquez,0.256,0.452,0.291,2013,29,SDN,0.709
101,Carlos Villanueva,0.261,0.416,0.248,2013,29,CHN,0.721
94,Edwin Jackson,0.253,0.436,0.281,2013,29,CHN,0.694
92,Kyle Kendrick,0.25,0.42,0.285,2013,28,PHI,0.685
107,Mike Pelfrey,0.268,0.431,0.3,2013,29,MIN,0.725
108,Hisashi Iwakuma,0.269,0.371,0.22,2013,32,SEA,0.731
107,Jeremy Guthrie,0.268,0.448,0.285,2013,34,KCA,0.727
104,Kenley Jansen,0.265,0.273,0.177,2013,25,LAN,0.735
105,Wade Davis,0.266,0.447,0.307,2013,27,KCA,0.719
94,Lance Lynn,0.254,0.375,0.252,2013,26,SLN,0.696
