DRB%,GS,MP,Age,TS%,DRtg,GmSc,Rk,Tm
0.0,0,23:00,27-262,.500,125,2.3,24,ORL
28.1,0,18:00,28-001,.340,126,3.3,54,ORL
16.1,1,46:00,28-011,.478,118,7.4,59,ORL
36.5,1,32:00,28-009,.635,118,10.9,58,ORL
52.2,0,4:00,27-241, ,108,0.2,16,ORL
0.0,0,15:00,27-215,.000,123,-3.8,3,ORL
21.7,0,24:00,27-300,.429,101,4.6,33,ORL
20.2,0,25:00,27-216,.200,134,-0.4,4,ORL
28.0,0,24:00,27-252,.470,104,6.4,21,ORL
43.2,0,3:00,27-283, ,122,0.3,29,ORL
24.4,1,24:00,27-364,.500,120,5.7,53,ORL
0.0,0,14:00,27-318,.322,135,1.4,35,ORL
14.4,1,37:00,27-362,.364,124,3.9,52,ORL
13.2,1,28:00,27-337,.462,132,4.0,41,ORL
53.3,0,2:00,27-271,.000,110,-0.4,26,ORL
14.1,0,20:00,27-277,.479,120,6.5,28,ORL
20.0,0,16:00,27-236,.258,118,0.3,14,ORL
40.1,0,13:00,27-226,.000,94,-0.7,9,ORL
12.8,0,15:00,27-239,.200,110,-1.9,15,ORL
6.4,0,15:00,27-335,.667,109,3.5,40,ORL
16.2,0,16:00,27-355,.773,130,2.5,48,ORL
26.0,0,26:00,27-213,.625,95,8.9,2,ORL
4.5,0,19:00,27-261,.000,106,-3.8,23,ORL
47.1,0,4:00,27-211,1.000,70,2.9,1,ORL
29.4,0,16:00,27-298,.500,96,6.9,32,ORL
24.1,1,19:00,27-359,.450,113,4.6,50,ORL
10.3,0,19:00,27-218,.333,110,0.6,5,ORL
23.6,0,31:00,27-258,.698,111,9.2,22,ORL
18.0,1,19:00,27-338,.255,120,-1.0,42,ORL
