School Year,District Code,District Name,School Code,Grade Span,School Name,Total Enrollment,Low Income Enrollment,Poverty Percentage,School Eligibility,School Program Type,School Improvement Status,Allocation,Act_PPE
2007-08,1,BOISE INDEPENDENT DISTRICT,0001,*7*8*9*,EAST JUNIOR HIGH SCHOOL,626,161,0.257188498402556,Not Eligible,Not Serving,Y,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0002,*7*8*9*,FAIRMONT JUNIOR HIGH SCHOOL,735,348,0.473469387755102,Eligible,Not Serving,Y,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0003,*7*8*9*,HILLSIDE JUNIOR HIGH SCHOOL,433,152,0.351039260969977,Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0004,*7*8*9*,NORTH JUNIOR HIGH SCHOOL,752,171,0.227393617021277,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0005,*7*8*9*,SOUTH JUNIOR HIGH SCHOOL,669,299,0.446935724962631,Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0006,*7*8*9*,WEST JUNIOR HIGH SCHOOL,784,296,0.377551020408163,Eligible,Not Serving,Y,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0007,*10*11*12*,BOISE SENIOR HIGH SCHOOL,1295,212,0.163706563706564,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0008,*10*11*12*,BORAH SENIOR HIGH SCHOOL,1495,437,0.292307692307692,Not Eligible,Not Serving,Y,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0009,*10*11*12*,CAPITAL SENIOR HIGH SCHOOL,1451,336,0.231564438318401,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0206,*7*8*9*,LES BOIS JUNIOR HIGH SCHOOL,882,161,0.182539682539683,Not Eligible,Not Serving,Y,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0242,*7*8*9*,RIVERGLEN JR HIGH SCHOOL,784,288,0.36734693877551,Eligible,Not Serving,Y,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0243,*10*11*12*,TIMBERLINE HIGH SCHOOL,1011,102,0.100890207715134,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0264,*K*1*2*3*4*5*6*7*,HIDDEN SPRINGS CHARTER SCHOOL,460,37,0.0804347826086956,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0287,*K*1*2*3*4*5*6*,TRAIL WIND ELEMENTARY,593,88,0.148397976391231,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0288,*K*1*2*3*4*5*6*,SHADOW HILLS ELEMENTARY,565,134,0.23716814159292,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0300,*K*1*2*3*4*5*6*,AMITY ELEMENTARY SCHOOL,571,128,0.224168126094571,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0301,*K*1*2*3*4*5*6*,MAPLE GROVE ELEMENTARY SCH,471,126,0.267515923566879,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0302,*K*1*2*3*4*5*6*,HIGHLANDS ELEMENTARY SCHOOL,272,16,0.0588235294117647,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0303,*K*1*2*3*4*5*6*,GARFIELD ELEMENTARY SCHOOL,382,255,0.667539267015707,Eligible,Schoolwide,N,178737,701
2007-08,1,BOISE INDEPENDENT DISTRICT,0304,*K*1*2*3*4*5*6*,FRANKLIN ELEMENTARY SCHOOL,312,232,0.743589743589744,Eligible,Schoolwide,N,162615,701
