ibb,hr,Date
0,1,"Feb 16, 2013"
0,0,"Mar 13, 2013"
0,0,"May 04, 2013"
0,1,"Mar 02, 2013"
0,0,"Mar 17, 2013"
0,0,"Feb 15, 2013"
0,34,Totals
0,0,"Apr 26, 2013"
0,0,"Feb 24, 2013"
0,1,"Apr 07, 2013"
0,2,"Mar 09, 2013"
0,1,"Feb 22, 2013"
0,3,"Apr 13, 2013"
0,2,"Apr 14, 2013"
0,0,"Mar 08, 2013"
0,1,"Feb 16, 2013"
0,0,"Mar 01, 2013"
0,0,"Mar 11, 2013"
0,0,"Feb 22, 2013"
0,0,"May 03, 2013"
0,1,"Mar 23, 2013"
0,0,"Mar 22, 2013"
0,0,"Mar 10, 2013"
0,0,"May 02, 2013"
0,1,"Mar 15, 2013"
0,1,"Mar 16, 2013"
0,0,"Mar 01, 2013"
0,1,"Feb 08, 2013"
0,0,"Mar 13, 2013"
