SvO,CG,Player,Team,GS,S,IP
0,0,Drew Pomeranz,COL,5,0,23.0
5,0,Chad Qualls,PHI,0,0,28.0
9,0,Huston Street,SD,0,9,16.0
0,0,Sandy Rosario,MIA,0,0,3.0
2,0,Josh Lindblom,LAD,0,0,34.0
0,0,Kyle Weiland,HOU,3,0,17.2
0,0,Josh Outman,COL,4,0,20.1
0,0,Robert Carson,NYM,0,0,3.0
1,0,Wilton Lopez,HOU,0,0,32.1
0,0,Edinson Volquez,SD,15,0,87.2
0,1,Adam Wainwright,STL,14,0,84.2
0,0,Mike Leake,CIN,13,0,74.2
0,0,Dan Jennings,MIA,0,0,5.0
0,0,Miguel Batista,NYM,4,0,35.1
0,0,Gio Gonzalez,WAS,14,0,84.2
0,0,Eric Stults,SD,5,0,31.0
12,0,Tyler Clippard,WAS,0,11,31.1
1,0,Livan Hernandez,ATL,0,1,31.0
1,0,Randy Wells,CHC,3,0,25.2
18,0,Jason Motte,STL,0,14,31.2
0,1,Jake Westbrook,STL,14,0,87.0
21,0,Frank Francisco,NYM,0,18,29.0
0,0,Fernando Abad,HOU,0,0,11.2
0,0,J.J. Hoover,CIN,0,0,18.0
0,0,Ryan Dempster,CHC,12,0,81.0
0,0,Doug Slaten,PIT,0,0,11.0
21,0,Santiago Casilla,SF,0,20,28.1
0,0,Elvin Ramirez,NYM,0,0,7.0
2,0,Mitchell Boggs,STL,0,0,31.1
0,0,Aneury Rodriguez,HOU,1,0,6.0
0,0,Mike McClendon,MIL,0,0,8.0
0,0,Wily Peralta,MIL,0,0,1.0
6,0,Rafael Dolis,CHC,0,4,25.1
6,0,Dale Thayer,SD,0,5,19.0
0,0,Guillermo Moscoso,COL,2,0,24.2
1,0,Tom Gorzelanny,WAS,0,1,33.0
2,0,Sean Burnett,WAS,0,2,25.0
0,0,B.J. Rosenberg,PHI,0,0,1.2
0,0,Chris Hatcher,MIA,0,0,2.2
0,1,Ian Kennedy,ARI,14,0,89.1
11,0,Aroldis Chapman,CIN,0,8,34.1
0,0,Brandon Dickson,STL,0,0,2.1
0,0,Nathan Eovaldi,LAD,5,0,30.2
6,0,Carlos Marmol,CHC,0,4,19.2
0,1,Mark Buehrle,MIA,14,0,92.0
1,0,Tyler Chatwood,COL,0,1,8.0
0,1,Edwin Jackson,WAS,13,0,86.1
0,0,Michael Gonzalez,WAS,0,0,6.0
0,0,Randy Wolf,MIL,14,0,81.0
0,0,Jonathon Niese,NYM,14,0,81.2
1,1,Kyle Kendrick,PHI,10,0,63.0
0,0,Christian Friedrich,COL,9,0,51.0
0,0,Erik Bedard,PIT,14,0,72.0
0,1,Barry Zito,SF,14,0,80.2
0,0,Wesley Wright,HOU,0,0,21.2
0,0,Chad Gaudin,MIA,0,0,35.2
0,0,Chad Billingsley,LAD,15,0,86.2
0,0,Jamie Moyer,COL,10,0,53.2
0,0,Rodrigo Lopez,CHC,0,0,6.1
0,0,Sam LeCure,CIN,0,0,28.1
0,0,Juan Perez,MIL,0,0,7.0
0,0,Ryan Mattheus,WAS,0,0,22.2
0,0,Anibal Sanchez,MIA,14,0,89.0
0,0,Michael Fiers,MIL,4,0,26.0
0,0,Julio Teheran,ATL,1,0,4.1
0,0,Josh Johnson,MIA,14,0,84.0
2,0,Jeremy Affeldt,SF,0,1,26.0
0,0,Victor Marte,STL,0,0,31.2
3,0,Bobby Parnell,NYM,0,0,30.0
1,0,Raul Valdes,PHI,0,0,12.2
2,0,Kris Medlen,ATL,0,1,32.1
0,0,Roy Halladay,PHI,11,0,72.1
0,0,Joe Martinez,ARI,0,0,1.0
0,0,Josh Spence,SD,0,0,10.1
0,0,Jeremy Guthrie,COL,11,0,62.0
0,0,Joe Thatcher,SD,0,0,19.2
4,0,Rex Brothers,COL,0,0,24.0
0,1,Joe Saunders,ARI,13,0,81.0
0,0,Alfredo Simon,CIN,0,0,27.1
0,0,Tim Stauffer,SD,1,0,5.0
0,0,Lance Lynn,STL,14,0,86.2
0,0,Brian Bogusevic,HOU,0,0,1.0
0,0,Jonathan Albaladejo,ARI,0,0,1.0
0,0,Stephen Strasburg,WAS,14,0,84.0
0,0,Joe Paterson,ARI,0,0,2.2
0,0,Travis Wood,CHC,7,0,41.1
0,0,Michael Stutes,PHI,0,0,5.2
0,0,Alex White,COL,9,0,49.0
0,0,Rob Johnson,NYM,0,0,1.0
0,0,Steve Edlefsen,SF,0,0,15.1
3,0,Juan Cruz,PIT,0,3,23.2
