Frame (Except Culverts),Tunnel,Arch-Thru,Segmental Box Girder,Stayed Girder,Truss-Deck
55,0,6,0,0,9
231,1,7,1,1,24
23,0,1,1,0,0
49,4,4,0,0,11
0,0,1,0,0,0
2,10,0,0,1,4
300,0,16,0,0,44
28,1,5,0,1,9
242,0,3,0,0,2
82,0,8,0,0,15
34,0,1,3,0,3
19,0,1,0,0,11
14,0,10,0,0,8
93,0,8,1,0,11
32,0,9,0,2,8
40,0,0,4,0,2
408,0,27,0,0,180
464,0,1,4,0,5
17,11,9,2,0,62
23,0,3,39,2,0
"4,834",90,395,134,28,845
37,0,17,2,0,14
67,1,0,5,0,9
17,2,10,3,0,12
87,0,54,0,0,23
22,14,0,0,0,0
117,0,10,16,0,7
19,0,2,0,0,11
56,0,4,0,0,6
