Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
Totals:, , , , , , , ,0,0,0.00K,0.00K
CAMP HOUSTON,WOODS CO.,OK,04/18/2009,14:40,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
AVARD,WOODS CO.,OK,04/18/2009,14:56,CST-6,Hail,1.50 in.,0,0,0.00K,0.00K
AVARD,WOODS CO.,OK,04/18/2009,15:00,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
CAMP HOUSTON,WOODS CO.,OK,04/18/2009,15:05,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
AVARD,WOODS CO.,OK,04/18/2009,15:13,CST-6,Hail,2.75 in.,0,0,0.00K,0.00K
WAYNOKA,WOODS CO.,OK,04/18/2009,15:43,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
ALVA,WOODS CO.,OK,04/18/2009,15:53,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
ALVA,WOODS CO.,OK,04/18/2009,16:15,CST-6,Thunderstorm Wind,56 kts. EG,0,0,0.00K,0.00K
BURLINGTON,ALFALFA CO.,OK,04/18/2009,16:30,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
ORIENTA,MAJOR CO.,OK,04/18/2009,16:35,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
AMES,MAJOR CO.,OK,04/18/2009,17:30,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
EDMOND,OKLAHOMA CO.,OK,04/18/2009,18:52,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
LANGSTON,LOGAN CO.,OK,04/18/2009,19:05,CST-6,Tornado,EF1,0,0,0.00K,0.00K
JONES,OKLAHOMA CO.,OK,04/18/2009,19:07,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
PURCELL,MCCLAIN CO.,OK,04/18/2009,19:14,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
SLAUGHTERVILLE,CLEVELAND CO.,OK,04/18/2009,19:15,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
LEXINGTON,CLEVELAND CO.,OK,04/18/2009,19:20,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
LAKE THUNDERBIRD DAM,CLEVELAND CO.,OK,04/18/2009,19:42,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
PURCELL,MCCLAIN CO.,OK,04/18/2009,20:15,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
BYARS,MCCLAIN CO.,OK,04/18/2009,21:30,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
KONAWA,SEMINOLE CO.,OK,04/18/2009,21:30,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
Totals:, , , , , , , ,0,0,0.00K,0.00K
