SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1990 - 1991,Nyköpings HK,Division 2,33,24,5,4,-,-,251,111,53,1,Promoted
1991 - 1992,Nyköpings HK,Division 1,14,7,1,6,-,-,43,44,19,6,-
1992 - 1993,Nyköpings HK,Division 1,14,8,1,5,-,-,76,54,20,5,-
1993 - 1994,Nyköpings HK,Division 1,18,6,3,9,-,-,57,66,21,7,-
1994 - 1995,Nyköpings HK,Division 1,14,7,2,5,-,-,63,59,21,4,Kval upp
1995 - 1996,Nyköpings HK,Division 1,14,6,1,7,-,-,44,58,13,8,-
1996 - 1997,Nyköpings HK,Division 1,14,4,8,2,-,-,43,34,23,4,Kval upp
1997 - 1998,Nyköpings HK,Division 1,14,7,2,5,-,-,50,43,22,6,-
1998 - 1999,Nyköpings HK,Division 1,28,6,2,20,-,-,73,106,14,6,-
1999 - 2000,Nyköpings HK,Allsvenskan,32,19,0,11,1,1,114,75,60,4,Kvalserien SHL
2000 - 2001,Nyköpings HK,Allsvenskan,26,17,0,5,1,3,119,66,56,1,Superallsvenskan
2001 - 2002,Nyköpings HK,Allsvenskan,32,25,0,5,0,2,159,76,77,2,Superallsvenskan
2002 - 2003,Nyköpings HK,Allsvenskan,28,14,0,8,3,3,115,88,51,6,-
2003 - 2004,Nyköpings HK,Allsvenskan,32,15,0,11,3,3,91,89,54,6,-
2004 - 2005,Nyköpings HK,Allsvenskan,30,16,3,9,1,1,106,86,54,4,Kvalserien SHL
2005 - 2006,Nyköpings HK,Allsvenskan,42,10,4,22,3,3,104,154,43,11,-
2006 - 2007,Nyköpings HK,Allsvenskan,45,19,4,17,2,3,141,141,68,7,Did not make playoffs
2007 - 2008,Nyköpings HK,Allsvenskan,45,14,3,23,1,4,139,152,51,13,Financial relegation
2008 - 2009,Nyköpings HK,Division 1,27,21,-,3,1,2,148,60,67,1,-
 ,Nyköpings HK,Division 1,14,7,-,6,1,0,58,48,23,3,Kval upp
2009 - 2010,Nyköpings HK,Division 1,22,11,-,7,1,3,91,66,38,2,-
 ,Nyköpings HK,Division 1,14,6,-,7,1,0,54,50,20,4,Kval upp
2010 - 2011,Nyköpings HK,Division 1,27,18,-,9,0,0,125,84,54,2,-
 ,Nyköpings HK,Division 1,14,3,-,11,0,0,33,51,9,8,-
2011 - 2012,Nyköpings HK,Division 1,27,16,-,6,2,3,115,89,55,2,-
 ,Nyköpings HK,Division 1,14,10,-,2,1,1,61,35,33,1,Kval upp
2012 - 2013,Nyköpings HK,Division 1,27,21,-,5,1,0,111,59,65,2,-
 ,Nyköpings HK,Division 1,14,8,-,6,0,0,60,39,24,5,-
2013 - 2014,Nyköpings HK,Division 1,27,17,-,6,3,1,123,57,58,3,Bankruptcy
 ,Nyköpings HK,Division 1,14,12,-,2,0,0,71,31,36,1,Kval upp
