Sr. No,Name,Age,Team,Mats,Balls,Mdns,Runs,Wkts,BB,Ave,4wl,5wl,S. Rate,Econ
1,Sana Mir,30 years,Pakistan Women,2,108.0,0.0,68.0,2.0,2-35,34.00,0,0,54.00,3.78
2,Javeria Khan,27 years, ,2, , , , , ,--,0,0,--, 
3,Marina Iqbal,28 years,Pakistan Women,2,36.0,1.0,12.0,0.0,0-6,--,0,0,--,2.0
4,Asmavia Iqbal,28 years,Pakistan Women,2,36.0,0.0,22.0,0.0,0-11,--,0,0,--,3.67
5,Qanita Jalil,37 years,Pakistan Women,2,60.0,0.0,25.0,2.0,2-13,12.50,0,0,30.00,2.5
6,Clare Shillington,35 years, ,2, , , , , ,--,0,0,--, 
7,Cecelia Joyce,32 years, ,2, , , , , ,--,0,0,--, 
8,Melissa Scott-Hayward,25 years, ,2, , , , , ,--,0,0,--, 
9,Rumana Ahmed,24 years,Bangladesh Women,2,108.0,0.0,54.0,3.0,2-31,18.00,0,0,36.00,3.0
10,Salma Khatun,25 years,Bangladesh Women,2,114.0,3.0,51.0,0.0,0-18,--,0,0,--,2.68
11,Ayesha Akter,32 years, ,2, , , , , ,--,0,0,--, 
12,Lata Mondal,23 years,Bangladesh Women,2,54.0,0.0,33.0,0.0,0-12,--,0,0,--,3.67
13,Kim Garth,19 years,Ireland Women,2,66.0,2.0,62.0,4.0,4-11,15.50,1,0,16.50,5.64
14,Shauna Kavanagh,23 years, ,2, , , , , ,--,0,0,--, 
15,Farzana Haque,22 years, ,2, , , , , ,--,0,0,--, 
16,Khadija Tul Kubra,21 years,Bangladesh Women,2,114.0,2.0,44.0,4.0,3-23,11.00,0,0,28.50,2.32
17,Sharmin Akhter,19 years, ,2, , , , , ,--,0,0,--, 
18,Nain Abidi,30 years, ,2, , , , , ,--,0,0,--, 
19,Bismah Maroof,24 years,Pakistan Women,2,90.0,0.0,70.0,1.0,1-23,70.00,0,0,90.00,4.67
20,Nida Dar,29 years,Pakistan Women,2,102.0,1.0,66.0,4.0,3-36,16.50,0,0,25.50,3.88
