DRtg,DRB%,AST%,G,MP,ORtg,Date,Rk
108,38.1,0.0,12,21:00,70,2004-11-28,12
111,13.3,0.0,74,18:00,116,2005-04-11,74
99,18.6,0.0,60,30:00,97,2005-03-12,60
95,17.4,6.1,10,29:00,135,2004-11-23,10
109,14.5,12.7,71,34:00,129,2005-04-06,71
111,17.1,0.0,49,24:00,105,2005-02-15,49
99,22.6,0.0,22,13:00,101,2004-12-20,22
109,21.1,24.2,21,6:00,241,2004-12-18,21
105,17.8,4.8,58,36:00,140,2005-03-09,58
100,19.2,0.0,62,26:00,139,2005-03-17,62
97,27.1,6.5,42,25:00,103,2005-02-02,42
108,12.4,0.0,31,21:00,113,2005-01-09,31
107,10.0,10.0,40,13:00,47,2005-01-28,40
124,14.2,11.0,70,26:00,139,2005-04-05,70
130,23.0,4.2,56,36:00,102,2005-03-06,56
127,0.0,4.8,67,28:00,155,2005-03-30,67
126,0.0,15.3,34,19:00,122,2005-01-14,34
119,19.3,0.0,16,17:00,148,2004-12-10,16
100,14.3,9.1,25,16:00,75,2004-12-27,25
96,9.3,0.0,55,23:00,69,2005-03-04,55
117,17.5,9.1,65,41:00,153,2005-03-25,65
110,4.1,11.6,66,25:00,103,2005-03-28,66
102,27.4,4.7,54,36:00,116,2005-03-02,54
108,17.1,0.0,15,7:00,200,2004-12-04,15
85,39.5,0.0,32,16:00,97,2005-01-10,32
101,6.7,0.0,6,16:00,0,2004-11-12,6
104,12.8,4.7,35,30:00,85,2005-01-15,35
120,14.2,16.3,2,13:00,101,2004-11-05,2
98,33.6,0.0,48,29:00,91,2005-02-13,48
119,19.1,5.5,75,26:00,165,2005-04-13,75
107,32.8,4.7,64,30:00,24,2005-03-23,64
108,6.9,6.7,53,20:00,104,2005-03-01,53
93,27.4,0.0,4,31:00,118,2004-11-08,4
91,0.0,0.0,8,9:00,56,2004-11-17,8
99,21.1,0.0,26,19:00,88,2004-12-29,26
92,8.6,0.0,17,13:00,0,2004-12-12,17
98,35.7,0.0,24,16:00,29,2004-12-26,24
111,0.0,0.0,14,10:00,57,2004-12-03,14
80,25.4,5.4,76,25:00,175,2005-04-15,76
126,18.4,0.0,39,23:00,56,2005-01-26,39
116,19.0,0.0,13,18:00,151,2004-12-01,13
102,34.0,9.8,59,21:00,134,2005-03-11,59
107,13.0,0.0,46,29:00,113,2005-02-08,46
115,18.4,11.2,73,40:00,147,2005-04-10,73
