AB,2B,SB,AVG,H
407,20,3,.346,141
381,11,16,.286,109
236,21,4,.322,76
122,13,1,.262,32
14,0,0,.357,5
313,23,1,.307,96
325,16,7,.372,121
57,1,2,.316,18
178,3,5,.281,50
268,13,2,.284,76
237,15,1,.304,72
413,25,4,.324,134
118,3,0,.263,31
235,9,4,.230,54
63,4,1,.286,18
4,1,0,.250,1
44,1,0,.227,10
99,4,0,.242,24
18,0,0,.111,2
362,19,1,.326,118
401,24,6,.299,120
303,8,8,.317,96
202,5,1,.252,51
264,13,1,.314,83
87,3,0,.218,19
350,14,20,.300,105
262,20,5,.302,79
30,2,0,.133,4
56,1,1,.214,12
390,19,24,.331,129
368,23,15,.342,126
0,0,0,--,0
183,14,0,.262,48
11,0,0,.182,2
377,21,2,.273,103
1,0,0,.000,0
27,1,0,.296,8
173,5,1,.208,36
108,6,0,.222,24
306,17,1,.291,89
413,20,14,.351,145
286,27,1,.315,90
0,0,0,--,0
433,26,8,.300,130
46,1,2,.239,11
165,8,0,.285,47
181,17,9,.370,67
425,34,7,.329,140
218,8,9,.261,57
162,1,1,.272,44
42,3,0,.262,11
52,2,0,.231,12
14,0,0,.071,1
354,15,5,.260,92
64,2,0,.281,18
0,0,0,--,0
323,22,4,.381,123
4,0,0,.000,0
371,26,2,.334,124
72,6,5,.264,19
176,18,1,.352,62
193,9,2,.249,48
22,2,1,.227,5
136,15,2,.324,44
232,12,1,.284,66
6,0,0,.000,0
338,24,32,.325,110
66,2,1,.242,16
249,14,0,.305,76
298,7,10,.245,73
290,11,3,.279,81
350,23,3,.280,98
163,3,0,.221,36
21,0,0,.190,4
373,18,1,.338,126
412,19,3,.274,113
0,0,0,--,0
124,9,1,.355,44
293,15,0,.294,86
432,27,8,.363,157
92,4,1,.217,20
142,4,1,.232,33
140,3,0,.250,35
20,0,0,.050,1
78,7,0,.295,23
154,6,1,.247,38
407,24,31,.354,144
366,21,4,.331,121
132,5,1,.227,30
392,29,5,.311,122
24,1,0,.208,5
13,0,1,.154,2
385,32,26,.348,134
239,10,1,.305,73
214,8,0,.280,60
204,9,0,.221,45
293,20,4,.345,101
195,13,3,.262,51
298,11,2,.279,83
216,6,4,.227,49
85,5,0,.294,25
366,17,11,.260,95
56,4,1,.250,14
214,9,5,.243,52
241,11,7,.290,70
283,22,1,.325,92
184,4,3,.228,42
