OBP,BB,SO,AVG,OPS,SLG,SF
0.275,21,64,0.205,0.593,0.318,2
0.408,49,37,0.286,0.743,0.335,0
0.295,12,40,0.202,0.588,0.293,0
0.355,31,58,0.274,0.795,0.44,1
0.279,8,31,0.208,0.566,0.287,0
0.368,28,38,0.241,0.809,0.441,0
0.0,0,1,0.0,0.0,0.0,0
0.154,1,4,0.083,0.237,0.083,0
0.294,9,54,0.258,0.615,0.321,3
0.327,12,52,0.271,0.707,0.38,4
0.219,0,7,0.219,0.563,0.344,0
0.356,11,43,0.295,0.861,0.505,2
0.388,15,18,0.306,0.847,0.459,2
0.351,13,49,0.316,0.863,0.512,4
0.269,5,46,0.232,0.608,0.339,1
0.308,5,22,0.264,0.732,0.424,0
0.238,2,42,0.23,0.59,0.351,1
0.367,25,31,0.259,0.667,0.3,1
0.332,22,39,0.238,0.665,0.333,1
0.266,9,35,0.206,0.586,0.321,1
0.351,18,76,0.302,0.743,0.392,1
0.286,1,2,0.167,0.452,0.167,0
0.305,6,13,0.226,0.664,0.358,0
0.233,3,8,0.175,0.483,0.25,0
0.373,37,34,0.26,0.672,0.298,2
0.393,2,2,0.346,0.816,0.423,0
0.324,6,14,0.194,0.808,0.484,0
0.336,11,22,0.264,0.708,0.372,0
0.284,17,49,0.208,0.59,0.306,1
0.393,50,78,0.245,0.773,0.38,2
0.206,4,21,0.155,0.379,0.172,1
0.402,37,53,0.297,0.844,0.441,3
0.269,12,28,0.191,0.521,0.252,2
0.429,22,23,0.253,0.789,0.36,0
0.372,17,20,0.29,0.756,0.384,0
0.429,0,1,0.333,0.762,0.333,0
0.417,4,3,0.125,0.542,0.125,0
0.339,6,34,0.311,0.812,0.473,0
0.304,12,18,0.237,0.659,0.355,1
0.324,24,45,0.217,0.617,0.293,0
0.353,11,55,0.318,0.83,0.477,2
0.429,2,6,0.353,0.84,0.412,1
