Opp,TRB%,AST%,MP,ORB%,STL%,DRB%
CLE,37.1,0.0,12:20,37.1,4.3,37.1
DET,12.8,11.7,22:07,13.3,0.0,12.1
MIA,11.7,0.0,15:38,7.5,0.0,16.2
PHO,29.4,0.0,14:06,0.0,0.0,54.2
BOS,0.0,0.0,7:47,0.0,6.5,0.0
MEM,24.7,0.0,15:39,32.3,3.4,12.8
ORL,19.6,0.0,12:35,9.1,4.5,31.8
CHI,16.5,0.0,11:11,20.9,0.0,11.6
PHO,6.9,0.0,16:59,7.4,0.0,6.4
NYK,18.4,0.0,24:55,24.1,2.2,14.3
GSW,22.4,0.0,16:52,12.9,0.0,31.6
HOU,15.9,19.4,15:06,13.5,7.0,19.3
GSW,14.8,0.0,17:33,28.8,5.5,0.0
NJN,0.0,0.0,7:20,0.0,0.0,0.0
MIL,12.4,16.6,14:50,7.5,0.0,18.5
UTA,24.2,0.0,7:44,15.1,0.0,34.5
CHI,33.1,0.0,7:26,34.9,0.0,31.5
IND,12.8,6.1,23:59,5.4,0.0,19.5
ATL,16.0,4.8,29:22,12.1,0.0,21.5
SAC,14.7,0.0,20:12,18.8,0.0,11.1
MIN,12.6,0.0,5:01,0.0,0.0,28.1
NOK,7.3,0.0,8:11,0.0,0.0,13.3
BOS,16.3,0.0,27:25,20.6,0.0,10.7
CHA,10.4,0.0,11:48,11.6,0.0,9.5
CLE,14.3,6.2,20:58,20.2,2.7,10.0
DET,7.9,0.0,8:57,0.0,0.0,16.3
ATL,19.8,4.7,26:17,17.8,2.1,21.7
