Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id
 , , , , , , , , , , , , , 
CRISP Richard,AUS,M,12AUS318,0.0,1890.0,0.0,1946.0,L,1.0,O65M,02/12/2012,1.0,AUS3020
 , , , , , , , , , , , , , 
CRISP Richard,AUS,M,12AUS318,0.0,2130.0,0.0,1946.0,L,2.0,O65M,02/12/2012,1.0,AUS3020
 , , , , , , , , , , , , , 
CRISP Richard,AUS,M,12AUS101,0.0,1810.0,0.0,1946.0,L,1.0,O65M,04/09/2012,1.0,AUS3025
 , , , , , , , , , , , , , 
CRISP Richard,AUS,M,12AUS101,0.0,2280.0,0.0,1946.0,L,2.0,O65M,04/09/2012,1.0,AUS3025
 , , , , , , , , , , , , , 
CRISP Richard,AUS,M,12AUS328,0.0,2480.0,0.0,1946.0,L,1.0,O65M,03/25/2012,1.0,AUS3025
 , , , , , , , , , , , , , 
CRISP Richard,AUS,M,12AUS328,0.0,1710.0,0.0,1946.0,L,2.0,O65M,03/25/2012,1.0,AUS3025
 , , , , , , , , , , , , , 
CRISP Richard,AUS,M,12AUS312,0.0,1740.0,0.0,1946.0,L,1.0,O65M,01/08/2012,1.0,AUS3035
 , , , , , , , , , , , , , 
CRISP Richard,AUS,M,12AUS312,0.0,2190.0,0.0,1946.0,L,2.0,O65M,01/08/2012,1.0,AUS3035
