tot,sa,s,sa/s,pct,Rk,d/s
27,21,102,0.21,0.111,26,0.44
58,0,109,0.0,0.094,44,0.12
61,2,117,0.02,0.167,25,1.09
22,0,61,0.0,0.114,48,0.34
43,32,124,0.26,0.132,10,1.72
55,29,104,0.28,0.254,31,0.66
33,0,106,0.0,0.238,13,0.41
67,10,122,0.08,0.139,39,1.03
14,24,100,0.24,0.149,29,1.7
67,0,77,0.0,0.103,40,0.21
21,27,100,0.27,0.125,42,2.41
67,1,132,0.01,0.204,6,0.7
45,0,115,0.0,0.193,18,0.5
29,43,117,0.37,0.163,17,3.18
44,0,128,0.0,0.217,16,0.61
43,22,76,0.29,0.126,49,2.14
35,9,82,0.11,0.161,19,0.99
67,3,102,0.03,0.21,12,0.98
20,22,79,0.28,0.115,7,2.9
20,4,110,0.04,0.132,23,1.24
50,2,103,0.02,0.211,34,0.14
88,3,107,0.03,0.205,28,0.21
13,1,75,0.01,0.06,35,0.53
119,4,133,0.03,0.252,14,0.25
52,1,134,0.01,0.175,37,0.28
