TRB%,DRtg,DRB%,GS,TOV%,Age,G
0.0,131,0.0,0,0.0,28-264,12
4.5,121,4.7,1,33.3,28-347,44
16.4,99,36.1,0,12.5,28-257,8
16.9,109,16.3,0,25.0,28-271,14
11.4,98,23.4,0,0.0,28-249,5
13.0,117,18.7,1,23.1,29-012,59
0.0,137,0.0,0,0.0,28-289,20
20.5,92,26.0,1,15.4,28-364,52
16.4,115,21.3,1,41.0,28-340,40
9.4,89,5.2,1,0.0,28-328,36
13.5,108,21.1,1,5.6,29-010,58
0.0,119,0.0,1,20.0,29-017,62
12.0,122,15.2,1,13.3,28-354,48
22.1,96,38.4,1,18.4,28-324,34
14.4,102,17.2,1,30.0,28-341,41
13.0,99,12.1,1,17.6,28-345,43
12.9,95,24.7,1,0.0,29-024,65
8.5,108,6.8,1,0.0,28-321,32
2.8,119,5.6,0,18.4,28-287,19
