iFenwick,A/60,iFenwick/60,TOI,FirstA
22,2.92,10.71,123:16,5
70,3.58,19.28,217:53,6
42,2.24,18.84,133:44,4
32,1.21,12.88,149:07,1
73,1.81,21.97,199:22,6
96,1.40,22.41,257:04,2
36,3.38,15.19,142:12,3
23,0.70,16.17,85:20,0
113,2.51,21.78,311:15,6
31,2.21,13.72,135:33,2
44,1.12,16.36,161:21,1
53,1.34,23.61,134:43,2
56,2.39,14.89,225:43,4
48,1.67,16.08,179:08,2
23,3.39,15.61,88:26,3
11,2.68,9.83,67:10,1
189,2.08,30.25,374:54,6
18,3.19,8.20,131:38,4
39,1.98,15.44,151:31,3
7,0.93,6.51,64:33,0
30,1.94,11.64,154:38,2
18,3.86,6.96,155:15,7
76,3.01,19.09,238:55,7
56,2.20,20.54,163:37,5
37,2.67,16.44,135:01,3
33,2.46,16.21,122:08,4
36,2.67,12.00,180:03,4
9,0.99,8.89,60:43,0
30,0.32,9.58,187:49,1
58,1.39,13.39,259:50,3
28,2.25,7.89,213:00,6
67,3.22,21.56,186:27,7
123,2.74,25.91,284:53,9
18,1.07,9.60,112:32,2
22,1.73,12.66,104:15,2
50,1.47,14.69,204:17,3
17,1.44,8.15,125:11,2
30,2.13,12.80,140:39,4
54,2.73,18.44,175:40,4
17,0.59,9.99,102:05,1
30,1.60,12.03,149:38,1
41,3.68,18.86,130:25,1
9,0.00,7.95,67:54,0
38,3.61,13.70,166:25,6
44,2.99,13.15,200:49,7
29,4.39,25.44,68:24,1
20,2.41,12.07,99:25,2
26,0.47,12.26,127:12,1
90,2.00,19.95,270:37,5
51,2.67,10.46,292:33,7
31,1.89,7.33,253:48,1
53,2.63,15.46,205:40,2
21,0.00,19.17,65:44,0
20,0.71,14.12,85:00,0
29,0.68,9.82,177:09,1
69,1.71,19.66,210:33,5
27,2.08,11.24,144:07,3
21,3.09,5.40,233:21,7
49,1.58,9.67,304:01,6
14,0.77,10.71,78:25,0
19,1.95,12.37,92:09,1
46,2.84,14.54,189:52,7
32,3.65,14.59,131:37,3
27,1.53,8.24,196:29,1
53,1.24,21.84,145:35,3
44,2.80,12.32,214:16,5
18,0.00,19.67,54:55,0
102,4.75,23.10,264:59,15
36,3.73,12.19,177:08,5
32,0.70,22.32,86:02,1
18,0.38,6.91,156:19,1
23,0.99,11.39,121:08,1
62,3.59,18.54,200:38,7
72,2.04,16.33,264:30,5
42,1.51,15.81,159:24,1
15,3.37,12.63,71:14,3
32,1.85,14.83,129:28,3
34,1.62,13.81,147:44,3
26,1.24,10.74,145:17,3
41,1.73,11.82,208:05,2
71,1.46,14.85,286:48,4
12,1.07,12.89,55:51,1
29,2.52,10.43,166:54,5
34,1.17,13.31,153:19,0
8,2.01,8.05,59:37,2
36,3.70,12.10,178:30,6
64,0.90,19.14,200:39,2
52,1.33,13.84,225:29,2
11,0.00,12.36,53:25,0
48,3.29,15.80,182:20,8
59,3.95,17.92,197:32,5
17,1.60,9.04,112:48,1
24,2.08,12.50,115:14,3
32,1.62,25.90,74:08,2
91,3.38,20.49,266:30,6
72,1.90,17.11,252:29,4
29,1.85,10.74,162:05,2
9,1.57,7.08,76:18,0
36,2.19,11.24,192:06,4
9,3.63,6.54,82:32,4
73,3.59,16.37,267:38,11
17,2.07,11.73,86:58,2
21,1.04,10.88,115:48,1
14,2.83,9.89,84:57,4
19,2.18,10.34,110:18,2
34,1.64,11.14,183:06,1
64,7.64,13.57,282:54,16
51,2.25,19.14,159:52,3
23,2.47,14.23,97:00,1
46,1.58,14.50,190:21,0
12,0.51,6.12,117:44,0
137,2.43,22.21,370:02,6
76,2.58,21.78,209:23,3
27,2.31,10.40,155:45,2
