SLG,R,SO,BB,CS,H,Player,Team,HR,SB
.404,53,75,64,1,111,M Leslie,MID,5,1
.424,70,103,28,4,135,S Murphy,FRI,11,5
--,0,0,0,0,0,B Backe,CC,0,0
--,0,0,0,0,0,E Englebrook,CC,0,0
--,0,0,0,0,0,M Sillman,SPR,0,0
.458,72,120,53,9,124,R Sadler,CC,24,13
.000,0,1,0,0,0,T Lavigne,CC,0,0
.677,5,1,2,1,15,M Furtado,FRI,1,1
.452,3,8,1,0,9,T Olson,TUL,1,0
.294,2,4,2,0,2,J Goethals,CC,1,2
.000,0,1,1,0,0,A Johnson,TUL,0,0
.337,39,73,20,12,88,O Joseph,WIC,3,11
.518,51,40,32,3,83,J Padilla,WIC,10,11
.750,5,6,1,0,7,A Craig,SPR,3,0
--,0,0,0,0,0,D Clarke,TUL,0,0
.411,66,55,21,11,114,A Webster,FRI,8,30
.379,30,57,23,0,50,L Santangelo,CC,5,2
.091,0,9,1,0,2,C Ramos,SA,0,0
.615,9,4,5,2,17,D Putnam,MID,2,1
.324,24,55,26,1,40,M Ferris,SPR,3,1
.000,0,1,0,0,0,P Walters,SPR,0,0
--,0,0,0,0,0,R Thompson,CC,0,0
.159,4,19,3,0,10,S Adams,SA,0,0
.111,2,4,0,0,2,S Thompson,TUL,0,0
.356,9,17,6,0,16,J Mackor,CC,3,0
1.000,1,1,0,0,1,J Motte,SPR,0,0
.472,65,118,47,2,125,J Richardson,SPR,18,0
.525,81,77,34,2,144,G Duran,FRI,22,11
.288,37,89,31,8,73,C Fuller,ARK,2,20
--,0,0,0,0,0,D Foli,CC,0,0
.000,0,1,0,0,0,J Wigdahl,CC,0,0
.436,12,39,11,1,29,J Dragicevich,TUL,5,0
.408,60,84,29,1,104,J Baisley,MID,11,4
.411,49,61,19,2,101,N Sellers,CC,7,0
.336,41,35,38,2,68,C Pennington,MID,2,8
--,0,0,0,0,0,R Stiehl,CC,0,0
.508,69,103,70,4,94,B Boggs,FRI,19,10
.486,5,8,4,0,11,K West,FRI,2,0
--,0,0,0,0,0,T Phelps,CC,0,0
--,0,0,0,0,0,M DeJean,TUL,0,0
.178,2,10,3,0,7,J Sellers,MID,0,2
.286,0,2,0,0,2,R Deago,SA,0,0
.472,37,24,14,0,75,J Martinez,SPR,10,0
.388,51,77,32,1,116,B Anderson,SPR,6,0
.399,43,53,51,8,83,D Macias,SA,8,5
.167,0,1,0,0,1,B Gordon,CC,0,0
.447,37,40,41,0,60,K Ka'aihue,WIC,12,0
.313,4,2,3,0,5,F Wipke,ARK,0,1
.476,34,36,30,3,55,M Antonelli,SA,7,10
.475,38,44,21,1,56,T Metcalf,FRI,7,2
.327,30,46,24,1,56,S Kazmar,SA,6,6
.321,20,59,22,6,57,B Torbert,CC,1,2
.450,61,119,38,1,123,A Rifkin,TUL,15,3
.385,14,23,11,0,22,K Mahar,FRI,3,3
.329,15,18,7,2,20,T Raines,CC,1,4
.364,2,1,0,0,4,J Asahina,TUL,0,0
.100,2,1,2,0,1,J Hatcher,SA,0,1
.430,56,65,40,0,96,T Brown,SA,13,0
.428,73,107,74,9,124,A Greenberg,WIC,8,23
.502,46,58,20,4,82,M Macri,TUL,11,4
.000,0,1,0,0,0,J Beckstead,TUL,0,0
.000,1,2,1,0,0,F Catalanotto,FRI,0,0
.495,78,80,46,4,163,C Colonel,TUL,17,6
.368,1,3,0,0,6,C Rauschenberger,SPR,0,0
.400,34,43,6,0,79,A Peel,ARK,7,2
.000,0,2,0,0,0,J Searles,SA,0,0
.800,0,1,0,0,3,J Howell,WIC,0,0
.000,0,1,0,0,0,C Lambert,SPR,0,0
.571,1,2,0,0,3,C Collet,ARK,0,0
.465,73,130,34,3,131,R Robnett,MID,18,4
--,0,0,0,0,0,P Abraham,SA,0,0
.418,21,18,15,0,37,C Myers,MID,3,0
--,0,0,0,0,0,C Perez,SPR,0,0
.290,3,1,7,0,5,D Sanchez,SPR,1,0
.383,85,131,92,7,128,A Morrissey,ARK,9,12
.400,36,49,48,0,76,L Appert,MID,5,1
.439,24,52,16,0,59,J Nettles,WIC,8,1
.341,9,29,6,1,19,J Eure,WIC,2,2
.000,1,1,2,0,0,K Ool,SPR,0,0
--,0,0,0,0,0,B White,FRI,0,0
.466,27,38,18,0,67,J Fasano,FRI,9,0
.333,11,10,9,3,16,T Donovan,FRI,0,6
.416,19,23,9,1,35,E Lucas,WIC,3,2
.333,6,16,7,0,18,J Cleveland,SA,0,0
.083,0,0,2,0,1,T Patton,CC,0,0
.000,0,2,0,0,0,D Hayhurst,SA,0,0
