Team,R,2B,3B,Pos
STL,34,17,6,OF
NYM,11,3,1,C
TOR,2,0,0,OF
ATL,2,4,0,2B
CLE,4,0,0,C
PIT,47,21,3,OF
LAD,6,4,0,2B
SD,29,9,3,OF
STL,1,1,0,OF
SD,19,10,1,SS
CIN,37,9,2,OF
TB,29,16,4,SS
HOU,28,16,0,OF
CWS,27,17,0,SS
LAA,4,2,0,OF
TOR,21,5,0,OF
NYY,10,4,1,C
TB,14,5,2,SS
NYY,55,13,1,3B
MIN,17,4,0,DH
BOS,7,1,0,C
WAS,37,15,0,OF
BAL,24,6,1,OF
DET,3,1,0,3B
LAA,2,1,0,3B
TB,0,1,0,OF
PIT,2,3,0,1B
CLE,35,17,1,1B
MIL,57,17,2,OF
MIL,6,3,0,OF
SD,10,1,2,OF
SEA,33,22,3,OF
ARI,0,1,0,1B
OAK,31,16,1,3B
SF,36,13,3,OF
MIL,6,9,1,SS
TB,23,8,2,DH
BOS,15,5,5,OF
LAD,51,17,1,OF
BOS,19,9,1,C
ARI,16,7,4,3B
CLE,3,2,0,OF
BOS,35,15,0,2B
BAL,5,2,0,SS
BOS,1,0,0,SS
NYY,34,15,0,OF
CWS,30,15,0,1B
LAD,45,17,2,2B
ATL,20,5,0,3B
LAA,6,2,1,OF
ATL,7,4,0,OF
MIL,15,11,2,SS
PHI,10,5,1,OF
MIN,72,27,3,2B
TOR,11,4,0,C
CWS,8,2,0,2B
CIN,61,29,1,3B
KC,44,17,1,3B
PIT,2,0,0,OF
CLE,15,10,0,C
ATL,35,17,3,2B
NYM,5,2,0,OF
MIA,3,1,0,C
SEA,5,2,0,OF
TB,42,21,0,3B
NYY,47,15,1,3B
BAL,23,6,3,2B
TEX,25,12,0,OF
BAL,11,7,1,1B
WAS,22,12,1,3B
CLE,38,29,0,OF
HOU,1,0,0,OF
CHC,30,17,0,SS
MIN,1,1,0,2B
OAK,39,20,2,2B
CHC,0,0,0,2B
SF,54,23,2,2B
LAA,11,3,0,2B
ARI,38,14,4,SS
MIN,10,3,1,OF
PIT,3,0,1,OF
TB,24,11,0,OF
NYM,3,0,0,3B
ATL,9,4,0,OF
HOU,11,4,0,SS
SEA,2,1,0,SS
LAA,39,16,3,2B
CIN,53,17,2,1B
TOR,26,13,0,3B
BOS,32,16,4,3B
WAS,30,11,1,1B
SD,3,1,0,C
SD,28,19,2,3B
DET,57,24,4,2B
SF,2,2,0,C
KC,2,1,1,3B
HOU,6,2,0,OF
CWS,41,17,1,OF
CIN,8,4,0,2B
CHC,5,2,0,C
BAL,38,13,2,3B
CIN,5,2,0,3B
ARI,38,17,7,OF
MIA,26,14,1,3B
TB,8,3,1,2B
KC,50,19,4,1B
BAL,10,7,1,C
ARI,40,17,2,OF
SF,14,6,2,C
OAK,3,0,0,OF
STL,22,11,2,1B
MIA,4,4,0,3B
NYM,6,0,0,C
ATL,12,2,0,2B
LAD,36,11,0,C
CHC,30,9,1,SS
WAS,44,16,1,2B
CHC,6,1,0,OF
MIL,18,8,2,2B
TOR,36,17,0,SS
TEX,35,17,1,SS
MIN,21,3,3,OF
OAK,27,7,1,2B
COL,47,17,1,OF
LAD,44,14,1,SS
LAD,13,9,0,OF
SD,23,7,2,3B
NYM,22,6,0,OF
TB,3,0,0,OF
SD,47,22,2,OF
STL,1,1,0,SS
CIN,44,6,3,OF
BOS,29,13,1,3B
TOR,37,18,0,2B
PIT,1,1,0,OF
PIT,0,0,0,3B
TEX,27,11,5,2B
WAS,46,17,1,SS
BOS,6,1,0,OF
TEX,32,16,0,1B
CHC,1,0,0,3B
MIL,0,1,0,C
LAA,0,0,0,OF
TEX,46,20,0,1B
TEX,10,4,0,OF
LAD,36,20,1,3B
TEX,9,2,1,SS
DET,1,0,0,SS
SF,5,1,0,3B
MIN,5,1,1,OF
NYY,36,7,0,OF
BOS,16,3,0,C
STL,1,0,0,1B
WAS,0,0,0,SS
MIN,39,20,2,1B
CWS,35,10,1,OF
TOR,2,2,0,SS
CLE,24,5,0,2B
MIA,8,7,1,OF
TEX,6,1,0,SS
CIN,28,10,1,SS
CWS,6,5,0,OF
SF,51,16,0,C
CHC,51,25,2,1B
BAL,1,1,0,C
TOR,9,5,1,3B
CIN,10,3,0,C
NYM,24,15,0,SS
SF,1,0,0,1B
LAA,9,4,0,1B
HOU,7,2,0,OF
BAL,47,17,3,OF
HOU,53,20,0,2B
STL,54,22,1,3B
CHC,10,8,0,OF
CWS,11,6,0,C
MIA,5,2,1,2B
NYY,46,21,0,1B
TEX,41,16,2,3B
TOR,55,17,2,C
TOR,50,20,2,OF
KC,32,13,0,OF
MIA,34,11,1,OF
LAD,5,3,1,OF
DET,27,13,0,1B
SEA,48,24,1,2B
SEA,22,7,1,OF
DET,15,3,0,SS
KC,33,20,3,2B
STL,25,17,1,C
SEA,23,10,0,C
OAK,1,0,0,SS
PHI,32,21,3,2B
PIT,12,4,1,2B
BOS,5,0,0,OF
ATL,2,1,0,OF
STL,48,20,1,OF
MIL,10,3,1,3B
ARI,64,21,3,OF
COL,19,11,1,C
CWS,13,7,0,C
SD,12,8,0,2B
WAS,5,0,1,OF
LAD,16,7,2,SS
LAA,21,5,0,C
OAK,11,7,0,1B
CHC,12,3,1,SS
CLE,26,10,1,OF
BAL,1,1,0,C
LAA,5,0,0,2B
LAD,36,9,4,OF
LAD,56,25,0,1B
CHC,51,16,4,3B
PHI,22,11,1,OF
MIN,28,10,5,SS
OAK,30,9,1,1B
LAD,2,1,0,C
NYM,2,0,0,3B
NYY,7,3,0,SS
STL,43,21,1,SS
LAA,59,14,0,1B
MIA,23,0,3,OF
STL,23,13,1,OF
CIN,44,11,1,2B
LAA,9,2,0,OF
PIT,8,7,0,C
MIL,48,23,4,OF
MIN,9,5,0,3B
NYY,3,1,0,OF
ATL,17,6,0,3B
CHC,26,16,1,OF
SD,28,10,1,1B
OAK,44,13,2,C
ATL,8,7,1,3B
SF,1,1,0,2B
COL,17,5,3,C
WAS,9,5,0,2B
KC,43,25,0,1B
PHI,8,10,1,SS
CIN,2,1,1,3B
MIN,28,12,3,OF
NYY,2,2,0,SS
CIN,2,1,0,OF
PHI,37,11,3,SS
MIL,13,4,1,OF
LAA,40,17,0,3B
PIT,0,0,0,OF
PIT,21,14,0,SS
CLE,0,0,0,1B
PIT,52,25,2,OF
PIT,0,0,0,SS
COL,22,9,3,1B
ARI,14,7,0,C
COL,46,19,0,SS
DET,27,14,2,SS
NYM,11,8,0,C
SD,1,2,0,1B
DET,43,16,1,1B
SD,18,6,2,2B
ATL,20,7,0,OF
DET,1,0,0,OF
CIN,12,11,0,OF
MIA,18,10,0,1B
CLE,12,5,0,SS
KC,52,16,2,SS
SD,48,10,1,OF
STL,50,20,2,2B
LAA,49,17,0,SS
NYY,27,12,0,SS
NYM,35,12,1,OF
KC,20,4,5,OF
COL,10,4,0,2B
ARI,9,6,0,C
KC,59,22,4,OF
CLE,19,6,0,SS
ATL,9,7,0,3B
STL,5,4,0,OF
SF,0,0,0,OF
CHC,10,2,1,C
HOU,13,6,0,C
CHC,3,7,0,C
LAA,17,8,0,1B
NYY,22,20,1,OF
OAK,41,17,1,1B
SEA,9,3,0,OF
COL,10,7,0,1B
WAS,7,1,0,C
MIA,31,15,5,C
