Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 2,at Newberry,"L, 9-1",15,1,-,-,-,-,0,1,4,1,-
Feb 2,at Newberry,"L, 7-1",25,1,5,1,-,1,1,1,5,-,1
Feb 3,at Anderson (S.C.),"L, 8-0",15,0,1,-,-,-,0,1,6,-,1
Feb 3,at Anderson (S.C.),"L, 8-0",16,0,2,-,-,-,0,2,4,-,1
Feb 9,vs. Tusculum,"L, 8-0",18,-,4,-,-,-,0,1,5,-,1
Feb 9,at Armstrong Atlantic,"L, 9-1",16,1,3,1,-,-,1,-,6,-,-
Feb 10,vs. Tusculum,"L, 6-1",26,1,7,1,-,-,1,-,3,1,-
Feb 10,Armstrong Atlantic,"L, 10-0",17,-,3,-,-,-,0,1,3,-,1
Feb 14,at Lincoln Memorial,"L, 8-0",18,0,3,-,-,-,0,2,6,-,-
Feb 14,at Lincoln Memorial,"L, 11-0",17,0,2,1,-,-,0,-,2,-,-
Feb 20,at Carson-Newman,"L, 12-2",21,2,4,-,-,-,2,2,5,-,1
Feb 20,at Carson-Newman,"L, 8-0",20,-,2,-,-,-,0,1,7,-,-
Feb 25,at Brevard,"L, 3-1",27,1,4,1,1,-,1,-,10,-,-
Feb 25,at Brevard,"W, 4-1",30,4,7,2,-,-,3,3,7,2,-
Mar 2,at Belmont Abbey,"W, 1-0",23,1,1,-,-,-,0,1,6,2,1
Mar 2,at Belmont Abbey,"L, 3-0",18,-,2,-,-,-,0,-,3,-,-
Mar 4,at Mars Hill,"W, 4-3",25,4,5,1,-,-,4,4,5,-,-
Mar 4,at Mars Hill,"L, 5-0",25,-,6,1,-,-,0,2,1,-,-
Mar 9,at Limestone,"L, 5-1",25,1,6,-,-,1,1,-,8,2,1
Mar 9,at Limestone,"L, 4-1",23,1,2,-,-,-,0,1,4,-,-
Mar 11,vs. Northwood (Mich.),"L, 9-1",22,1,5,-,1,-,0,3,2,2,-
Mar 11,vs. Minn. St. Moorhead,"W, 3-2",26,3,8,1,-,-,2,3,-,1,-
Mar 12,vs. Adelphi,"L, 6-3",28,3,7,2,-,-,2,2,5,-,-
Mar 13,vs. Ferris St.,"L, 9-0",16,0,3,-,1,-,0,-,4,-,-
Mar 13,vs. Minn. St. Mankato,"W, 5-4",27,5,7,-,-,2,5,2,6,-,-
Mar 15,vs. Tiffin,"L, 8-5",28,5,6,-,1,-,3,3,9,-,1
Mar 15,vs. Wayne St. (Mich.),"L, 4-0",21,0,0,-,-,-,0,-,10,-,-
Mar 16,vs. Ashland,"L, 3-0",25,-,4,-,-,-,0,-,8,-,-
Mar 16,vs. Wayne St. (Mich.),"L, 3-0",25,-,2,-,-,-,0,-,4,-,-
Mar 20,Concord,"W, 6-5",33,6,10,1,-,-,5,2,5,-,1
Mar 20,Concord,"L, 9-5",30,5,10,2,-,-,5,1,3,-,-
Mar 23,at Barton,"W, 7-6",29,7,8,-,-,-,6,4,8,-,-
Mar 23,at Barton,"L, 5-3",30,3,10,-,-,1,3,2,9,1,-
Mar 25,at Mount Olive,"L, 11-3",21,3,7,1,-,1,3,1,3,-,-
Mar 25,at Mount Olive,"L, 5-2",26,2,6,-,-,-,1,-,4,-,-
Apr 3,King (Tenn.),"L, 4-1",26,1,7,2,-,-,1,4,3,-,-
Apr 3,King (Tenn.),"L, 9-1",24,1,5,-,-,1,1,1,2,-,-
Apr 6,Coker,"L, 9-1",22,1,4,1,-,-,1,-,-,-,-
Apr 6,Coker,"L, 4-2",27,2,9,1,-,-,1,3,3,-,-
Apr 7,Pfeiffer,"L, 7-6",32,6,9,1,-,-,6,6,2,1,-
Apr 7,Pfeiffer,"L, 8-0",22,-,3,1,-,-,0,2,7,1,-
Apr 11,Erskine,"L, 5-1",24,1,3,1,-,-,1,2,4,1,-
Apr 11,Erskine,"L, 4-1",27,1,7,2,-,-,1,2,6,1,-
Apr 13,North Greenville,"L, 10-1",26,1,5,1,-,-,1,1,9,-,-
Apr 13,North Greenville,"L, 5-1",26,1,6,3,-,-,1,-,2,1,-
Apr 14,at Queens (N.C.),"L, 8-0",15,0,1,-,-,-,0,-,3,-,-
Apr 14,at Queens (N.C.),"L, 3-2",27,2,7,-,-,-,2,-,2,-,-
