OBP,oppOPS,LG,IP,AVG,G,SLG,AGE
0.244,0.693,NL,236.0,0.195,33,0.277,25
0.341,0.683,NL,153.0,0.28,26,0.431,31
0.325,0.729,AL,174.0,0.274,32,0.45,26
0.29,0.722,AL,190.3,0.264,30,0.369,40
0.308,0.719,AL,152.3,0.233,27,0.358,24
0.254,0.714,AL,214.3,0.198,32,0.329,28
0.28,0.703,NL,241.7,0.248,34,0.356,31
0.333,0.691,NL,143.0,0.261,29,0.421,27
0.315,0.711,AL,218.3,0.253,34,0.376,30
0.339,0.686,NL,116.0,0.261,20,0.344,29
0.275,0.698,NL,128.0,0.229,21,0.395,29
0.305,0.706,NL,210.7,0.247,32,0.363,25
0.339,0.694,NL,175.3,0.281,31,0.436,29
0.313,0.704,AL,76.7,0.251,49,0.364,24
0.373,0.688,NL,116.7,0.293,21,0.401,35
0.327,0.696,NL,201.7,0.252,33,0.375,26
0.346,0.721,AL,139.3,0.284,26,0.466,30
0.338,0.716,AL,108.0,0.259,18,0.375,29
0.281,0.726,AL,186.7,0.252,27,0.379,27
0.363,0.698,NL,103.7,0.299,19,0.477,35
0.312,0.737,AL,104.3,0.231,23,0.366,29
0.257,0.71,NL,172.7,0.182,28,0.265,20
0.279,0.683,NL,213.3,0.239,32,0.375,27
0.29,0.723,AL,189.3,0.247,29,0.413,34
0.324,0.725,AL,203.7,0.276,33,0.43,34
0.282,0.724,AL,214.3,0.23,30,0.354,24
0.365,0.721,AL,183.0,0.311,32,0.507,32
0.289,0.697,NL,184.3,0.228,30,0.389,28
0.329,0.709,AL,208.7,0.281,33,0.381,29
0.281,0.684,NL,104.7,0.196,23,0.368,23
0.374,0.719,AL,135.3,0.307,31,0.447,27
0.315,0.702,NL,199.0,0.268,32,0.423,27
0.307,0.685,NL,197.0,0.258,32,0.398,27
0.337,0.683,NL,167.7,0.269,30,0.384,32
0.295,0.722,AL,76.7,0.214,76,0.31,26
0.372,0.727,AL,128.3,0.318,30,0.519,27
0.338,0.726,AL,162.3,0.261,29,0.391,25
0.26,0.723,AL,86.3,0.223,68,0.357,26
0.33,0.723,AL,169.3,0.272,37,0.442,31
0.327,0.696,NL,92.0,0.291,20,0.481,29
0.367,0.74,AL,90.0,0.311,22,0.516,22
0.28,0.725,AL,200.0,0.226,32,0.408,25
0.292,0.73,AL,128.7,0.226,23,0.368,24
0.336,0.727,AL,211.7,0.285,33,0.448,34
0.299,0.702,NL,173.3,0.234,31,0.371,22
0.342,0.722,AL,86.7,0.265,22,0.407,26
0.276,0.707,NL,77.0,0.234,71,0.291,28
0.306,0.697,NL,112.3,0.261,18,0.406,30
0.344,0.703,NL,111.3,0.278,20,0.367,23
0.324,0.692,NL,77.7,0.263,31,0.346,22
0.299,0.695,NL,131.3,0.245,21,0.363,37
0.315,0.692,NL,130.7,0.26,24,0.442,27
0.304,0.699,NL,191.0,0.231,30,0.335,36
0.301,0.719,AL,156.3,0.258,28,0.437,26
0.382,0.728,AL,153.7,0.289,36,0.453,28
0.286,0.706,AL,182.0,0.229,29,0.33,29
0.31,0.712,NL,85.3,0.241,43,0.388,30
0.343,0.728,AL,149.0,0.243,34,0.396,25
0.303,0.739,AL,206.3,0.241,33,0.427,25
0.331,0.685,NL,182.0,0.285,30,0.42,28
0.337,0.72,AL,185.3,0.297,31,0.462,32
0.309,0.721,NL,128.7,0.248,47,0.416,29
0.35,0.731,AL,141.7,0.285,27,0.451,22
0.323,0.7,NL,81.7,0.262,55,0.359,29
0.339,0.742,AL,126.0,0.277,21,0.415,28
0.291,0.742,AL,143.3,0.228,22,0.353,25
0.322,0.709,NL,197.7,0.248,32,0.389,29
0.336,0.724,AL,151.0,0.281,32,0.461,32
0.327,0.7,NL,100.0,0.243,17,0.369,23
0.306,0.7,NL,169.7,0.268,31,0.454,32
0.321,0.716,AL,137.0,0.272,23,0.44,27
