GmSc,Rk,BLK%,DRtg,GS,Date,ORtg
3.4,14,0.0,105,0,1987-01-17,90
0.5,49,0.0,109,0,1987-04-11,68
5.5,53,0.0,103,0,1987-04-18,82
7.8,19,0.0,131,0,1987-01-31,119
4.4,39,0.0,118,0,1987-03-22,107
0.0,31,0.0,114,0,1987-03-02,63
9.9,45,3.0,110,0,1987-04-04,180
5.4,44,0.0,111,0,1987-04-02,107
5.7,38,0.0,126,0,1987-03-21,103
1.2,37,5.9,105,0,1987-03-19,71
3.4,28,0.0,93,0,1987-02-24,202
2.6,50,0.0,113,0,1987-04-13,67
11.1,17,0.0,105,0,1987-01-27,127
14.5,11,0.0,117,0,1987-01-12,132
11.5,10,0.0,101,0,1987-01-10,173
2.5,42,0.0,96,0,1987-03-28,99
4.2,1,0.0,114,0,1986-12-18,161
9.6,4,1.6,109,1,1986-12-27,100
0.0,20,0.0,138,0,1987-02-04,40
8.3,33,0.0,123,0,1987-03-06,144
5.1,51,0.0,128,0,1987-04-14,134
4.0,18,0.0,113,0,1987-01-29,86
-3.0,12,0.0,121,0,1987-01-13,26
6.4,2,0.0,109,0,1986-12-20,148
2.7,25,10.7,113,0,1987-02-18,91
14.6,23,0.0,107,0,1987-02-14,172
2.2,15,0.0,96,0,1987-01-23,70
