B,H,U
20002,13,5v5
20002,13,4v5
20011,84,5v4
20030, ,5v5
20002, ,2v4
20011,13,4v4
20002, ,4v5
20011,32,4v5
20002, ,5v5
20011,46,5v5
20011,40,5v5
20002,46,5v5
20002,But TOR,3v5
20002,21,5v5
20011, ,5v5
20011, ,4v5
20002,21,4v5
20011,But - BUF,4v5
20002, ,4v5
20011,67,5v5
20011,21,5v4
20011,14,5v5
20002, ,5v5
20030,14,5v5
20002, ,4v5
20002, ,4v5
20002,32,4v5
20011, ,4v4
20002, ,4v5
20011,44,5v4
20002,But TOR,5v5
20002,21,5v5
20002,14,4v5
20030, ,5v5
20002,26 - But,4v4
20011, ,5v5
20002, ,5v5
20011, ,5v5
20011, ,4v5
20011, ,5v5
20002,14,5v5
