3B,Team,HR,CS,AVG
1,NYY,17,0,0.252
1,MIL,3,0,0.249
1,TEX,9,0,0.226
0,NYM,2,0,0.236
0,ARI,9,0,0.293
0,BAL,0,0,0.107
0,CHC,0,0,0.2
0,KC,15,0,0.243
0,CLE,3,0,0.156
0,BAL,0,0,0.455
0,ARI,2,0,0.242
0,MIN,3,0,0.231
0,CHC,10,0,0.23
0,SD,1,0,0.077
1,CLE,5,0,0.226
0,HOU,9,0,0.221
0,ARI,1,1,0.211
2,TOR,15,4,0.264
0,TOR,0,0,0.269
1,CIN,0,0,0.178
0,TOR,3,0,0.224
0,TB,5,0,0.176
0,SF,15,0,0.327
7,HOU,17,1,0.247
0,DET,3,1,0.173
0,PIT,0,0,0.375
0,LAA,0,1,0.19
0,PHI,2,1,0.22
0,LAD,2,0,0.222
0,MIA,1,0,0.069
0,TEX,0,0,0.2
2,PIT,5,1,0.296
0,HOU,8,0,0.254
0,CIN,0,0,0.278
0,NYM,0,0,0.178
0,KC,0,0,0.178
0,SEA,0,0,0.16
0,BOS,0,0,0.18
