Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
J Davies,MEL,3B,0.281,38,135,11,38,7,0,2,21,4,35,0,0,0,1,3,0.305,0.378,0.683
S Welch,ADE,3B,0.247,41,158,22,39,8,1,7,32,18,36,0,0,0,2,2,0.342,0.443,0.785
S Benson,SYD,3B,0.239,28,92,7,22,5,0,0,6,5,21,1,1,1,0,2,0.3,0.293,0.593
T D'Antonio,SYD,3B,0.304,33,115,25,35,8,1,6,27,18,17,4,4,1,3,3,0.407,0.548,0.955
D Sutherland,BRI,1B,0.247,43,150,12,37,5,0,1,12,14,20,0,0,0,2,5,0.311,0.3,0.611
J Barnes,CAN,3B,0.343,45,166,21,57,16,0,7,32,22,22,1,2,2,3,6,0.423,0.566,0.989
K Hobson,CAN,1B,0.271,21,85,7,23,7,0,3,15,4,16,0,1,0,1,0,0.3,0.459,0.759
M Ohlman,PER,1B,0.317,43,167,30,53,15,1,6,27,14,30,5,4,0,1,5,0.372,0.527,0.899
J Robbins,SYD,1B,0.298,43,178,19,53,12,1,5,26,11,54,0,1,0,1,7,0.347,0.461,0.808
C Beatty,BRI,3B,0.253,27,87,16,22,2,0,6,20,16,18,0,4,1,2,2,0.362,0.483,0.845
A Kam,ADE,1B,0.211,16,57,5,12,4,0,0,4,3,14,0,0,0,0,1,0.25,0.281,0.531
B Moanaroa,SYD,1B,0.149,34,114,11,17,3,1,3,16,20,46,0,1,0,1,1,0.279,0.272,0.551
C Alonso,BRI,3B,0.209,44,158,12,33,7,0,1,9,8,22,3,0,1,0,5,0.282,0.272,0.554
J Hendricks,MEL,1B,0.239,25,71,8,17,2,0,1,7,5,22,1,0,0,0,3,0.299,0.31,0.609
J Choi,ADE,1B,0.309,40,139,26,43,6,1,8,31,26,27,1,1,0,4,3,0.419,0.54,0.958
A Daniele,PER,3B,0.0,5,6,1,0,0,0,0,0,1,5,0,0,0,0,1,0.143,0.0,0.143
Z Shepherd,SYD,3B,0.207,13,29,4,6,0,0,0,3,6,6,0,0,0,0,0,0.343,0.207,0.55
N Spence,MEL,1B,0.091,6,11,1,1,0,0,0,0,2,5,1,0,0,0,0,0.231,0.091,0.322
J McGee,PER,3B,0.302,35,129,14,39,7,0,1,18,7,13,1,1,0,2,4,0.338,0.38,0.718
A Sloan,CAN,1B,0.2,26,85,11,17,2,0,2,8,1,27,0,0,1,0,2,0.218,0.294,0.513
