IBB,HR,SF,Result,HBP,BB,GDP,3B,SB,Opp
0,0,0,L 4-8 vs ARI,0,0,0,0,0,ARI
0,0,0,W 5-4 @WAS,0,0,0,0,0,WAS
0,1,0,L 4-6 @TBA,0,0,0,0,0,TBA
0,0,0,L 3-8 @TOR,0,0,0,0,0,TOR
0,0,0,L 7-9 vs CHA,0,0,0,0,0,CHA
0,1,0,L 3-8 @ARI,0,0,0,0,0,ARI
0,1,0,L 7-10 @NYA,0,0,0,0,0,NYA
0,0,0,W 2-0 vs CHA,0,0,0,0,0,CHA
0,0,0,L 4-5 @DET,0,2,0,0,3,DET
0,1,0,L 1-6 @CLE,0,0,0,0,0,CLE
0,1,0,W 8-5 vs TOR,0,0,0,0,0,TOR
0,0,0,W 3-0 vs TBA,0,0,0,0,1,TBA
0,0,0,W 10-9 vs NYA,0,0,0,0,1,NYA
0,0,0,L 6-9 vs WAS,0,0,0,0,0,WAS
0,1,0,L 4-7 @ANA,0,0,1,0,0,ANA
0,0,0,L 4-8 vs SEA,0,0,0,0,0,SEA
0,0,0,W 6-3 @BOS,0,0,0,0,0,BOS
0,0,0,L 1-6 vs BOS,0,0,0,0,0,BOS
0,0,0,W 8-4 @TBA,0,0,0,0,0,TBA
0,0,0,L 6-12 @SDN,2,0,0,0,0,SDN
0,0,0,L 4-7 @ARI,0,0,0,0,0,ARI
0,1,0,L 7-9 vs ANA,0,0,0,1,0,ANA
0,1,0,W 11-9 @TEX,0,1,0,0,0,TEX
0,0,0,W 10-9 vs NYA,0,0,0,2,0,NYA
0,0,0,W 8-2 vs CLE,0,1,0,0,0,CLE
