MP,Opp,Age,ORB%,TOV%,USG%,TRB%
24:00,MIA,22-322,0.0,27.6,19.9,4.5
13:00,ATL,22-271,0.0,0.0,10.5,0.0
9:00,NYK,22-232,0.0,0.0,15.7,6.8
6:00,SAS,22-277,0.0,0.0,7.5,0.0
4:00,WSB,22-208,0.0,0.0,22.6,0.0
15:00,LAC,22-200,0.0,0.0,16.7,10.1
13:00,ATL,22-166,6.7,0.0,21.9,6.8
14:00,HOU,22-194,0.0,0.0,9.1,7.9
6:00,SAC,22-258,0.0,25.8,28.2,16.7
15:00,CHI,22-154,8.9,0.0,13.8,11.0
11:00,NJN,22-155,11.5,33.3,11.8,11.1
25:00,CLE,22-324,3.6,20.2,22.7,4.0
18:00,LAC,22-261,7.2,0.0,25.8,10.4
17:00,SAC,22-173,0.0,16.7,14.4,3.1
1:00,DEN,22-189,0.0, ,0.0,0.0
8:00,CHI,22-310,0.0,0.0,11.7,0.0
10:00,HOU,22-281,9.4,37.5,33.2,8.7
6:00,CLE,22-175,0.0,50.0,30.5,0.0
14:00,GSW,22-231,0.0,7.5,38.3,4.5
8:00,ORL,22-290,14.3,34.0,30.0,6.2
8:00,NJN,22-267,0.0,0.0,14.2,0.0
14:00,IND,22-306,0.0,0.0,5.6,3.7
9:00,WSB,22-295,0.0,20.0,24.7,0.0
18:00,DEN,22-218,0.0,0.0,37.3,4.1
