Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Alixon Suarez,DSL,59,16,21,7,1,1,9,1,0,15,8,0.356,0.493,0.559,1.053
Jose Colorado,LowGCL,54,15,17,9,1,1,8,2,0,10,10,0.315,0.415,0.574,0.989
Alex Hassan,Paw,99,11,34,6,0,3,17,0,0,17,28,0.343,0.445,0.495,0.94
Kolbrin Vitek,3 Teams,52,10,16,5,1,1,4,0,0,10,11,0.308,0.419,0.5,0.919
J.C. Linares,PawPor,112,14,38,5,0,4,18,0,1,12,19,0.339,0.414,0.491,0.905
Xander Bogaerts,PorSal,134,16,44,8,1,5,25,2,0,7,29,0.328,0.359,0.515,0.874
Michael Almanzar,Sal,131,15,43,12,0,3,14,2,1,11,27,0.328,0.381,0.489,0.87
Ryan Lavarnway,Paw,92,15,32,5,0,2,13,0,0,7,19,0.348,0.398,0.467,0.865
Travis Shaw,PorSal,119,22,34,13,1,1,16,4,0,28,37,0.286,0.427,0.437,0.864
Jackie Bradley,PorSal,111,16,32,12,0,1,16,6,1,22,27,0.288,0.414,0.423,0.838
Mauro Gomez,Paw,112,15,32,7,0,6,12,0,0,6,35,0.286,0.328,0.509,0.837
Bryce Brentz,PawPor,141,16,43,7,1,6,21,2,0,8,41,0.305,0.34,0.496,0.836
Andy LaRoche,Paw,55,7,16,5,0,2,5,1,0,3,9,0.291,0.328,0.491,0.818
Keury De La Cruz,SalGre,136,15,37,6,2,7,23,2,4,8,34,0.272,0.313,0.5,0.813
Manuel Margot,DSL,72,13,22,2,1,1,12,4,1,11,7,0.306,0.405,0.403,0.808
Deven Marrero,Low,67,17,19,4,1,1,5,7,1,10,16,0.284,0.377,0.418,0.795
Garin Cecchini,Gre,126,24,35,11,2,1,18,10,0,18,25,0.278,0.368,0.421,0.789
Jose Garcia,Gre,96,18,25,5,1,3,11,4,2,15,30,0.26,0.36,0.427,0.787
Zach Gentile,PorSal,48,5,15,4,0,0,5,0,0,5,7,0.313,0.389,0.396,0.785
Drew Turocy,Gre,76,9,24,5,0,1,9,2,1,5,19,0.316,0.361,0.421,0.782
David Renfroe,SalGre,109,13,28,9,0,4,18,1,1,10,17,0.257,0.328,0.45,0.777
Adalberto Ibarra,Sal,72,6,21,6,0,0,6,3,1,10,16,0.292,0.4,0.375,0.775
Josh Kroeger,Paw,72,10,19,6,0,2,5,0,1,8,18,0.264,0.329,0.431,0.76
Anthony Amaya,DSL,63,12,16,2,1,1,6,2,3,9,13,0.254,0.382,0.365,0.747
Lars Anderson,Paw,91,13,23,6,0,2,13,1,0,15,26,0.253,0.355,0.385,0.74
