LVL,G,oppAVG,oppTAv,PA,AB
MLB,29,0.257,0.266,99,86
MLB,3,0.257,0.265,40,37
MLB,67,0.264,0.265,250,223
MLB,48,0.259,0.262,191,171
MLB,7,0.251,0.265,118,101
MLB,32,0.256,0.263,917,816
MLB,73,0.255,0.258,364,320
MLB,1,0.256,0.267,10,8
MLB,2,0.285,0.268,9,7
MLB,46,0.262,0.267,233,211
MLB,17,0.259,0.26,166,152
MLB,6,0.244,0.254,18,16
MLB,35,0.258,0.26,953,898
MLB,9,0.265,0.264,137,123
MLB,31,0.256,0.26,839,760
MLB,75,0.256,0.261,301,262
MLB,11,0.259,0.257,259,241
MLB,33,0.249,0.257,900,818
MLB,69,0.256,0.26,247,210
MLB,59,0.251,0.257,276,231
MLB,9,0.257,0.26,70,65
MLB,47,0.262,0.27,139,123
MLB,58,0.264,0.266,228,193
MLB,45,0.26,0.265,196,163
MLB,13,0.251,0.257,299,279
MLB,52,0.258,0.262,205,192
MLB,33,0.256,0.261,985,902
MLB,3,0.265,0.263,6,6
MLB,32,0.253,0.26,739,648
MLB,26,0.252,0.259,431,388
MLB,4,0.242,0.255,17,14
MLB,19,0.269,0.276,33,29
MLB,2,0.241,0.237,9,7
MLB,11,0.243,0.25,50,42
MLB,62,0.26,0.267,246,222
MLB,3,0.269,0.269,69,62
MLB,10,0.26,0.269,50,43
MLB,28,0.252,0.261,666,588
MLB,32,0.261,0.263,711,645
MLB,5,0.252,0.265,25,21
MLB,30,0.249,0.256,808,724
MLB,51,0.255,0.258,149,133
MLB,2,0.235,0.249,22,17
MLB,34,0.256,0.258,969,904
MLB,74,0.266,0.267,291,254
MLB,32,0.248,0.255,850,789
MLB,4,0.27,0.272,20,17
MLB,54,0.261,0.265,218,199
MLB,64,0.258,0.261,233,219
MLB,26,0.254,0.258,137,112
MLB,19,0.254,0.263,398,340
MLB,23,0.257,0.262,582,525
MLB,30,0.252,0.259,447,396
MLB,40,0.258,0.262,127,99
MLB,34,0.262,0.269,451,413
MLB,14,0.27,0.269,56,50
MLB,4,0.269,0.259,24,18
MLB,23,0.264,0.264,572,524
MLB,42,0.263,0.269,170,156
MLB,64,0.257,0.263,256,229
MLB,58,0.261,0.259,288,256
MLB,4,0.247,0.262,19,18
MLB,33,0.246,0.253,876,790
MLB,36,0.255,0.255,147,122
MLB,4,0.262,0.262,18,16
MLB,71,0.264,0.261,257,233
MLB,30,0.252,0.255,752,673
MLB,18,0.249,0.254,427,382
MLB,23,0.252,0.258,159,142
MLB,43,0.252,0.257,307,278
MLB,23,0.262,0.266,499,450
MLB,7,0.246,0.253,39,35
MLB,37,0.266,0.268,124,111
MLB,9,0.254,0.262,230,199
MLB,32,0.256,0.261,798,732
