TS%,Opp,USG%,Age,GS,TRB%,STL%,DRB%
1.136,SAS,5.6,32-120,0,7.9,0.0,15.2
.500,CLE,7.8,32-081,0,0.0,0.0,0.0
.000,PHI,7.4,31-334,0,0.0,0.0,0.0
1.042,MIN,11.4,32-061,0,9.2,0.0,17.8
.291,BOS,23.0,32-014,0,2.8,0.0,4.6
1.000,GSW,11.3,32-031,0,9.4,0.0,19.0
.403,TOR,17.7,31-355,0,4.9,2.0,0.0
.000,MIL,31.0,31-351,0,0.0,6.5,0.0
.000,LAL,33.5,31-324,0,0.0,0.0,0.0
1.000,PHO,6.3,32-015,0,0.0,0.0,0.0
.538,DAL,18.7,32-037,1,0.0,0.0,0.0
.436,LAC,23.7,32-094,0,0.0,0.0,0.0
.750,BOS,29.8,32-077,0,7.3,6.6,13.3
1.000,SAC,45.5,31-358,0,0.0,0.0,0.0
.333,LAC,13.1,32-072,0,0.0,0.0,0.0
.300,POR,15.0,32-124,0,0.0,0.0,0.0
1.500,ORL,7.6,32-089,0,0.0,8.5,0.0
 ,DET,0.0,31-335,0,0.0,0.0,0.0
.678,VAN,21.7,31-331,0,3.3,0.0,0.0
.222,LAL,23.0,32-095,0,2.4,0.0,0.0
.500,SAC,17.9,32-117,0,0.0,5.1,0.0
.167,GSW,25.8,32-000,0,10.4,0.0,10.7
.714,VAN,21.3,32-006,0,10.1,0.0,23.7
1.160,CHH,12.1,32-103,0,8.2,0.0,12.2
