Pos,Player,W,L,OUT,HR,K,SB,GIDP,HLD,ERA,K/9,H/9,BB/9,IRA,QS,NSV
SP,Player Note J. Shields SD - SP,1,0,39,2,15,2,1,0,2.08,10.38,6.23,2.08,0,2,0
SP,Player Note J. Fernández Mia - SP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RP,No new player Notes T. Watson Pit - RP,0,1,12,1,3,1,0,1,6.75,6.75,9.00,0.00,0,0,0
RP,Player Note J. Johnson LAD - RP,1,0,9,0,5,1,0,1,0.00,15.00,9.00,0.00,0,0,1
RP,No new player Notes R. Osuna Tor - RP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RP,No new player Notes S. Tolleson Tex - RP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BN,Player Note P. Hughes Min - SP,0,2,36,3,10,2,1,0,5.25,7.50,12.00,0.75,0,1,0
BN,Player Note T. Walker Sea - SP ,0,1,10,1,3,0,0,0,24.30,8.10,24.30,5.40,0,0,0
BN,"Player Note C. Martínez StL - SP,RP",0,0,21,2,9,0,0,1,2.57,11.57,5.14,3.86,0,1,0
BN,Player Note S. Miller Atl - SP ,0,0,15,0,4,1,0,0,0.00,7.20,7.20,3.60,0,0,0
BN,"Player Note C. Rodon CWS - SP,RP",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P,Player Note C. Kluber Cle - SP,0,1,41,1,17,2,1,0,2.63,11.20,6.59,1.98,0,2,0
DL,No new player Notes Y. Darvish Tex - SP DL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
--,New Player Note E. O'Flaherty Oak - RP NA,0,0,8,1,4,0,0,1,10.13,13.50,13.50,0.00,0,0,0
--,No new player Notes C. Fien Min - RP,0,0,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
