Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
Colby Lewis,TEX,21,5,0,1,0,1,0,3,0,0,0.238,0.238,0.333,0.571
Justin Masterson,BOS,12,4,2,0,0,1,1,1,0,0,0.333,0.385,0.5,0.885
Doug Fister,WAS,11,3,1,0,0,0,1,2,0,0,0.273,0.333,0.364,0.697
Hiroki Kuroda, ,11,2,1,0,0,1,0,2,0,0,0.182,0.182,0.273,0.455
Scott Feldman,HOU,9,3,0,0,0,1,0,1,2,0,0.333,0.333,0.333,0.667
Alexi Ogando,BOS,9,2,0,0,0,0,0,1,0,0,0.222,0.222,0.222,0.444
Erasmo Ramirez,TB,9,2,0,0,0,0,0,2,0,0,0.222,0.222,0.222,0.444
Felix Hernandez,SEA,9,1,0,0,0,0,2,4,0,0,0.111,0.333,0.111,0.444
Hisashi Iwakuma,SEA,9,1,0,0,0,1,0,0,0,0,0.111,0.111,0.111,0.222
Aaron Harang,PHI,8,4,1,0,1,2,1,0,0,1,0.5,0.556,1.0,1.556
Clay Buchholz,BOS,8,3,1,0,0,0,1,0,0,0,0.375,0.444,0.5,0.944
Bartolo Colon,NY-N,8,3,2,0,1,2,0,2,0,0,0.375,0.375,1.0,1.375
Bud Norris,BAL,8,3,0,0,0,1,0,1,0,0,0.375,0.375,0.375,0.75
Jesse Chavez,OAK,8,2,0,0,0,0,0,2,0,1,0.25,0.333,0.25,0.583
Rick Porcello,BOS,7,1,0,0,0,1,0,0,0,1,0.143,0.143,0.143,0.286
Sonny Gray,OAK,7,0,0,0,0,0,0,3,0,1,0.0,0.0,0.0,0.0
Jeremy Guthrie,KC,6,4,0,0,1,1,0,0,0,0,0.667,0.667,1.167,1.833
Roberto Hernandez,HOU,6,3,0,0,0,1,0,2,0,0,0.5,0.5,0.5,1.0
James Shields,SD,6,3,2,0,0,0,1,1,0,0,0.5,0.571,0.833,1.405
Jeff Samardzija,CHI-A,6,1,1,0,0,0,0,3,0,0,0.167,0.167,0.333,0.5
Matt Garza,MIL,6,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0
Tommy Hunter,CHI-N,6,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Wei-Yin Chen,BAL,5,3,2,0,1,1,0,1,0,0,0.6,0.6,1.6,2.2
Nick Martinez,TEX,5,3,2,0,0,0,0,0,0,0,0.6,0.6,1.0,1.6
Jason Hammel,CHI-N,5,2,0,0,1,2,0,1,0,0,0.4,0.4,1.0,1.4
Jeremy Hellickson,AZ,5,2,0,0,2,5,0,0,0,0,0.4,0.4,1.6,2.0
Brandon Maurer,SD,5,2,0,0,0,1,1,1,0,0,0.4,0.5,0.4,0.9
C.J. Wilson,ANA,5,2,0,0,0,0,1,2,0,0,0.4,0.571,0.4,0.971
Chris Archer,TB,5,1,1,0,0,1,1,1,0,0,0.2,0.333,0.4,0.733
A.J. Burnett,PIT,5,1,0,0,0,0,1,3,0,0,0.2,0.333,0.2,0.533
Yu Darvish,TEX,5,1,0,0,0,0,3,4,1,0,0.2,0.5,0.2,0.7
Kyle Gibson,MIN,5,1,0,0,0,0,1,0,0,0,0.2,0.333,0.2,0.533
Zack Greinke,LA,5,1,0,0,0,0,0,2,0,0,0.2,0.2,0.2,0.4
Greg Holland,KC,5,1,1,0,0,0,0,3,0,0,0.2,0.2,0.4,0.6
Collin McHugh,HOU,5,1,0,0,0,0,0,1,0,0,0.2,0.2,0.2,0.4
Chris Young,KC,5,1,0,0,0,0,0,2,0,0,0.2,0.2,0.2,0.4
Wade Davis,KC,5,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0
