Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Xander Bogaerts,Bos,12,3,6,2,0,0,3,0,0,2,1,0.5,0.571,0.667,1.238
Brandon Snyder,Bos,29,2,9,3,0,2,7,0,0,0,5,0.31,0.31,0.621,0.931
Mike Napoli,Bos,152,28,44,13,0,8,25,0,0,21,46,0.289,0.376,0.533,0.909
Dustin Pedroia,Bos,186,30,64,21,1,2,27,4,2,27,22,0.344,0.425,0.5,0.925
Shane Victorino,Bos,165,35,52,12,0,6,27,9,2,9,23,0.315,0.369,0.497,0.866
Will Middlebrooks,Bos,103,16,29,5,0,5,9,2,0,7,25,0.282,0.339,0.476,0.815
Ryan Lavarnway,Bos,28,2,8,5,0,0,2,0,0,0,3,0.286,0.31,0.464,0.775
David Ross,Bos,49,6,11,2,0,3,5,0,0,5,17,0.224,0.296,0.449,0.745
Jose Iglesias,Bos,75,10,26,3,2,0,3,0,1,7,13,0.347,0.402,0.44,0.842
Jonny Gomes,Bos,153,23,34,10,0,7,25,0,0,24,44,0.222,0.341,0.425,0.765
Mike Carp,Bos,26,1,7,1,0,1,3,0,0,2,11,0.269,0.321,0.423,0.745
David Ortiz,Bos,187,17,49,10,0,6,33,2,0,16,32,0.262,0.319,0.412,0.731
Daniel Nava,Bos,109,11,26,4,0,2,13,0,0,12,31,0.239,0.304,0.33,0.634
Stephen Drew,Bos,144,12,26,7,1,4,17,0,0,10,54,0.181,0.234,0.326,0.561
Jacoby Ellsbury,Bos,208,33,52,7,1,2,12,17,2,19,38,0.25,0.328,0.322,0.65
Jarrod Saltalamacchia,Bos,116,15,25,6,0,1,14,0,0,16,35,0.216,0.308,0.293,0.601
Pedro Ciriaco,Bos,22,0,3,0,1,0,1,0,0,3,5,0.136,0.24,0.227,0.467
Jackie Bradley Jr.,Bos,24,3,2,1,0,0,3,0,0,3,11,0.083,0.214,0.125,0.339
Brock Holt,Bos,9,1,1,0,0,0,1,0,0,2,0,0.111,0.273,0.111,0.384
Jake Peavy,Bos,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jon Lester,Bos,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0
Felix Doubront,Bos,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
Jonathan Diaz,Bos,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
