YEAR,AVG,OBP,SLG
2013,0.281,0.329,0.381
2013,0.231,0.304,0.335
2013,0.261,0.333,0.421
2013,0.216,0.295,0.291
2013,0.261,0.322,0.404
2013,0.269,0.337,0.384
2013,0.246,0.295,0.404
2013,0.318,0.383,0.491
2013,0.265,0.342,0.407
2013,0.255,0.325,0.411
2013,0.229,0.286,0.33
2013,0.177,0.236,0.273
2013,0.222,0.312,0.312
2013,0.285,0.336,0.448
2013,0.271,0.317,0.436
2013,0.222,0.292,0.351
2013,0.214,0.295,0.31
2013,0.285,0.331,0.42
2013,0.198,0.254,0.329
2013,0.241,0.31,0.388
2013,0.243,0.343,0.396
2013,0.219,0.265,0.336
2013,0.259,0.294,0.406
2013,0.311,0.367,0.516
2013,0.297,0.337,0.462
2013,0.257,0.359,0.426
2013,0.261,0.339,0.344
2013,0.269,0.321,0.377
2013,0.258,0.307,0.398
2013,0.245,0.299,0.363
2013,0.252,0.281,0.379
2013,0.252,0.299,0.361
2013,0.253,0.302,0.336
2013,0.314,0.366,0.516
2013,0.235,0.307,0.378
2013,0.249,0.291,0.392
2013,0.207,0.281,0.307
2013,0.229,0.275,0.395
2013,0.228,0.289,0.389
2013,0.232,0.275,0.382
2013,0.268,0.34,0.445
2013,0.272,0.33,0.427
2013,0.239,0.279,0.375
2013,0.284,0.346,0.466
2013,0.232,0.263,0.368
2013,0.199,0.27,0.277
2013,0.242,0.287,0.414
2013,0.268,0.338,0.428
2013,0.247,0.29,0.413
2013,0.261,0.338,0.391
2013,0.247,0.308,0.351
2013,0.234,0.291,0.369
2013,0.258,0.293,0.442
2013,0.209,0.248,0.282
2013,0.214,0.288,0.336
2013,0.261,0.325,0.395
2013,0.293,0.334,0.42
2013,0.234,0.291,0.355
2013,0.232,0.303,0.346
2013,0.264,0.29,0.369
2013,0.225,0.301,0.326
2013,0.262,0.344,0.402
