Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
T Glaus,PMB,3B,0.2,6,25,2,5,1,0,0,4,1,6,0,0,0,0,1,0.231,0.24,0.471
M Barrett,DUN,C,0.125,3,8,1,1,0,0,0,0,1,1,0,1,0,0,0,0.222,0.125,0.347
C Guillen,LAK,OF,0.25,5,12,3,3,1,0,0,0,4,3,0,0,0,0,0,0.438,0.333,0.771
P Burrell,CHA,OF,0.0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0
N Johnson,JUP,1B,0.333,2,3,0,1,1,0,0,0,0,2,0,0,0,0,0,0.333,0.667,1.0
A Amezaga,JUP,SS,0.333,3,9,0,3,0,0,0,1,2,1,0,0,0,0,0,0.455,0.333,0.788
J Mauer,FTM,C,0.4,5,15,2,6,2,0,0,4,2,1,0,0,0,1,0,0.444,0.533,0.978
M Watson,STL,OF,0.444,3,9,1,4,1,1,0,2,2,1,0,0,0,1,0,0.5,0.778,1.278
A Machado,FTM,2B,0.277,12,47,7,13,3,0,0,3,6,7,0,1,0,1,3,0.375,0.34,0.715
B Upton,CHA,CF,0.444,3,9,1,4,0,0,0,2,4,2,4,3,0,0,0,0.643,0.444,1.087
A Loewen,DUN,LF,0.236,103,335,47,79,22,3,4,31,50,114,5,2,0,2,5,0.34,0.355,0.695
J Bartlett,CHA,SS,0.455,3,11,2,5,0,1,0,0,2,2,0,1,0,0,0,0.538,0.636,1.175
A Pagan,STL,RF,0.417,4,12,4,5,2,0,0,3,4,2,2,0,0,0,0,0.563,0.583,1.146
R Canzler,DAY,1B,0.27,28,100,14,27,8,1,2,14,7,24,2,0,0,1,1,0.315,0.43,0.745
E De Los Santos,FTM,SS,0.29,68,262,33,76,11,7,1,23,13,49,11,4,5,1,3,0.33,0.397,0.727
J Opitz,DAY,3B,0.272,104,356,45,97,21,5,2,36,39,56,6,4,2,4,8,0.347,0.376,0.724
R Royster,CHA,LF,0.229,104,371,32,85,19,1,5,38,26,106,3,1,2,3,9,0.281,0.326,0.607
F Perez,CHA,OF,0.2,3,10,1,2,0,0,0,0,1,1,2,0,0,0,1,0.273,0.2,0.473
A Casanova,LAK,C,0.158,51,152,18,24,5,1,1,15,13,45,0,1,2,1,3,0.246,0.224,0.469
D Lehmann,FTM,C,0.294,25,68,9,20,3,0,1,5,9,7,2,0,1,2,1,0.367,0.382,0.749
C Guzman,STL,RF,0.29,126,472,59,137,28,2,15,64,39,95,6,5,1,4,8,0.347,0.453,0.8
B Guyer,DAY,RF,0.347,73,265,40,92,16,3,2,32,24,34,23,2,0,8,3,0.407,0.453,0.859
P Powell,CHA,LF,0.304,26,79,11,24,4,0,0,10,9,14,12,1,3,0,0,0.375,0.354,0.729
M Fields,CHA,1B,0.259,51,201,24,52,9,1,11,45,5,62,2,2,0,3,4,0.293,0.478,0.771
J Laster,LAK,RF,0.231,86,295,37,68,13,2,12,35,19,109,4,4,1,4,4,0.278,0.41,0.688
K Peter,LAK,CF,0.222,35,99,14,22,2,1,0,6,19,29,13,1,3,0,1,0.358,0.263,0.621
M Rizzotti,CLR,DH,0.263,101,350,44,92,26,1,13,58,48,91,0,0,0,4,9,0.351,0.454,0.806
S De Leon,LAK,3B,0.262,26,84,12,22,5,0,0,5,4,17,0,0,0,1,4,0.292,0.321,0.614
B Van Kirk,DUN,OF,0.3,6,20,5,6,0,0,2,8,6,8,0,0,0,1,1,0.444,0.6,1.044
C Sedbrook,PMB,2B,0.223,67,224,29,50,7,2,2,19,29,48,10,3,5,1,8,0.352,0.299,0.651
K Kaiser,LAK,RF,0.267,50,165,27,44,9,4,5,21,23,55,9,2,0,2,2,0.363,0.461,0.823
D Berg,FTM,1B,0.239,45,159,23,38,9,2,1,18,16,53,1,1,1,1,4,0.326,0.34,0.666
C Corporan,BRE,C,0.261,14,46,1,12,1,0,0,6,1,10,0,0,0,0,2,0.292,0.283,0.574
K Smith,TAM,1B,0.317,63,218,30,69,15,2,1,29,19,48,4,0,1,4,2,0.37,0.417,0.788
S McDougall,JUP,1B,0.224,66,196,31,44,12,2,3,20,21,64,10,3,4,1,1,0.301,0.352,0.653
S Peterson,PMB,RF,0.298,76,285,32,85,11,4,6,39,21,52,10,1,0,2,5,0.367,0.428,0.795
A Quiroz,CLR,CF,0.229,96,284,31,65,12,1,0,19,35,80,20,8,1,2,4,0.314,0.278,0.592
C Lopez,CHA,C,0.174,39,115,7,20,5,0,1,10,6,22,0,2,3,2,3,0.236,0.243,0.48
A De La Rosa,BRE,C,0.207,36,111,13,23,4,0,0,5,0,32,1,4,1,0,3,0.221,0.243,0.464
G Burns,JUP,CF,0.242,132,475,64,115,20,7,4,35,64,163,37,15,7,3,4,0.335,0.339,0.674
R Pena,STL,RF,0.222,34,90,16,20,4,0,1,7,14,22,2,2,1,0,3,0.333,0.3,0.633
G Valentin,JUP,RF,0.261,98,337,32,88,9,2,1,31,28,37,3,4,2,0,8,0.332,0.309,0.641
D Anderson,CHA,2B,0.275,36,131,14,36,6,4,2,19,11,27,1,1,2,4,2,0.327,0.427,0.754
R Arroyo,STL,C,0.094,22,64,4,6,3,0,0,3,10,24,2,1,1,1,0,0.234,0.141,0.374
S Perez,JUP,2B,0.181,34,116,11,21,1,0,2,6,10,18,5,3,4,1,1,0.256,0.241,0.497
L Rivera,STL,SS,0.128,12,39,2,5,2,0,0,3,2,7,1,0,0,1,1,0.167,0.179,0.346
J Abruzzo,STL,DH,0.1,5,10,1,1,0,0,0,0,2,0,0,0,0,0,0,0.25,0.1,0.35
C Kainer,SAR,LF,0.266,57,218,28,58,8,1,2,9,9,34,1,1,0,1,5,0.297,0.339,0.636
D Perales,SAR,LF,0.206,20,63,7,13,4,1,1,13,1,9,1,0,0,4,1,0.206,0.349,0.555
E Salem,CHA,CF,0.255,99,357,54,91,12,7,0,22,36,36,24,9,6,2,6,0.327,0.328,0.654
C Errecart,BRE,1B,0.245,90,335,40,82,20,2,8,43,26,86,4,5,0,4,13,0.315,0.388,0.703
J Wyatt,DAY,LF,0.232,116,396,44,92,10,1,2,33,35,67,9,5,4,0,11,0.295,0.278,0.572
