PO,RF/G,DP,CG,Rtot,RF/9,Tm
30,1.35,0,11,3,1.90,CHC
314,2.48,1,77,6,2.74,WSN
197,2.20,1,48,17,2.99,CIN
380,2.45,4,147,17,2.50,WSN
0,0.00,0,0,0,0.00,STL
327,2.14,2,157,9,2.16,ATL
14,1.17,0,4,-3,1.61,SDP
138,1.73,0,56,-3,1.86,NYM
14,2.33,0,5,-2,2.47,CIN
45,2.30,1,8,-0,3.40,FLA
183,1.83,1,61,-9,2.47,PIT
146,1.51,0,25,6,2.52,TOT
116,1.96,1,42,0,2.29, 
2,0.67,0,0,-0,1.74,LAD
115,1.51,1,46,2,1.89,TOT
13,1.44,0,8,-1,1.70,NYM
8,1.00,0,1,-1,1.39,PIT
16,1.78,0,6,1,2.29,SDP
78,1.40,0,24,1,2.22,TOT
131,2.16,0,29,3,2.96,TOT
5,1.00,0,0,-1,2.50,CHC
389,2.80,2,132,7,2.87,NYM
65,1.57,0,29,-3,1.88,ARI
5,1.00,0,5,-1,1.05,ATL
1,0.20,0,0,-1,0.77,MIL
97,1.83,0,30,-1,2.41,SFG
153,1.67,0,46,4,2.32,STL
84,3.07,2,25,9,3.49,PIT
18,1.67,0,5,2,2.62,CIN
123,2.27,1,35,1,2.85,HOU
4,1.00,0,2,-1,1.80,FLA
0,0.00,0,0, ,0.00,HOU
18,1.06,1,3,2,2.63,PHI
32,1.68,0,15,-4,2.03,HOU
18,1.50,0,8,-3,1.77,WSN
242,2.06,2,94,-4,2.30,MIL
60,1.00,0,13,-2,1.97,TOT
9,1.25,1,1,1,3.75,CHC
136,2.32,0,42,-9,2.80,CIN
90,1.79,1,31,4,2.20,ARI
248,2.25,0,74,5,2.98,WSN
265,1.96,3,125,-18,2.02,PIT
28,1.45,0,10,-1,2.02,WSN
25,0.96,0,15,-2,1.26,SDP
0,0.00,0,0,-0,0.00,STL
1,1.00,0,0,0,2.25,CIN
0,0.00,0,0,0,0.00,MIL
1,0.50,0,0,-0,2.70,SDP
273,2.18,4,122,10,2.26,CHC
192,1.54,0,65,-8,1.77,LAD
291,2.23,2,122,-15,2.29,CIN
211,1.61,0,113,-7,1.68,FLA
27,1.56,0,6,0,2.29,COL
124,2.21,1,35,1,2.85,TOT
77,1.50,1,19,-4,2.71,COL
85,2.51,0,32,-7,2.61,FLA
4,1.33,0,0,-1,2.12,SFG
49,1.61,1,21,-9,1.95,HOU
13,1.56,0,0,0,2.55,MIL
147,2.17,2,53,5,2.44,SDP
49,1.28,0,19,0,2.03,MIL
200,2.46,2,65,5,2.81,CIN
1,0.50,0,0,-0,9.00,PIT
76,0.84,0,6,2,2.25,PHI
15,1.60,0,7,-2,1.80,ARI
172,2.57,0,54,5,2.95,PIT
101,1.29,0,22,5,1.68,CHC
7,0.70,0,4,-1,1.27,SFG
6,1.50,0,1,0,4.05,CIN
0,0.00,0,0,-1,0.00,SFG
0,0.00,0,0,-0,0.00,STL
18,1.00,0,5,-6,1.37,STL
249,1.79,1,87,2,2.15,LAD
30,1.48,0,13,-1,1.62,PIT
48,1.60,0,20,-7,1.88,SFG
204,1.98,2,76,10,2.26,HOU
296,1.93,0,139,15,1.97,COL
88,1.58,0,33,-0,1.93,SDP
1,0.50,0,0,-0,1.29,CHC
101,1.52,0,28,3,2.60,NYM
1,0.33,0,1,0,0.75,NYM
318,2.15,0,128,-1,2.25,SFG
17,2.83,0,4,0,3.26,WSN
246,1.77,1,129,-5,1.83,COL
27,2.25,0,1,1,2.93,PIT
115,1.74,1,37,1,2.26,CHC
158,1.65,1,53,-5,2.10,ATL
20,0.88,0,4,1,2.57,HOU
10,1.43,0,0,1,3.91,HOU
324,2.56,0,98,7,2.69,MIL
351,2.27,1,127,20,2.35,ARI
0,0.00,0,0,0,0.00,CHC
0,0.00,0,0,0,0.00,LAD
3,1.50,0,1,-0,3.00,ARI
366,2.28,0,153,-15,2.35,LAD
172,1.61,2,51,-4,2.56,STL
176,1.33,2,46,-13,1.61,PHI
25,2.36,0,2,-1,3.12,CHC
396,2.59,1,142,6,2.67,ATL
272,2.30,0,70,4,2.49,CHC
7,1.00,0,2,-1,1.73,ARI
0,0.00,0,0,0,0.00,ARI
125,1.72,0,62,-16,1.85,STL
111,1.50,2,53,-4,1.76,MIL
14,1.08,0,4,-4,1.59,TOT
60,3.26,0,10,4,3.86,FLA
35,1.68,1,11,4,2.27,SDP
0,0.00,0,0,0,0.00,NYM
38,1.48,0,9,-4,2.57,SFG
0,0.00,0,0,-1,0.00,ATL
0,0.00,0,0,0,0.00,SFG
365,2.48,2,139,-6,2.52,SDP
5,1.67,0,2,-0,2.37,SFG
