G,BLK%,USG%,eFG%,DRB%
55,0.0,17.8,.556,29.8
39,0.0,42.3,.500,0.0
36,0.0,22.3,.000,0.0
17,6.2,22.0,.667,11.4
9,0.0,17.2,.538,18.4
30,0.0,16.8,.375,12.8
21,0.0,30.7,.500,0.0
59,0.0,10.1,.250,0.0
12,0.0,24.1,.000,12.1
51,3.7,10.0,.667,6.3
47,0.0,14.2,.333,18.0
63,5.8,15.2,.333,11.3
28,0.0,17.0,.800,5.0
52,0.0,29.0,1.000,0.0
1,0.0,5.3,1.000,45.0
33,0.0,11.7,.500,0.0
25,11.0,40.8,.200,18.6
62,0.0,18.8,.000,0.0
8,0.0,22.1,.455,11.5
45,0.0,11.8,.333,20.5
18,27.3,0.0, ,0.0
16,0.0,22.8,.500,0.0
5,5.0,20.0,.600,15.6
53,0.0,45.0,.000,0.0
22,0.0,0.0, ,22.7
4,0.0,14.4,.333,26.7
11,3.2,18.9,.333,5.1
43,0.0,14.4,.500,0.0
