OPS,H,Team,SH,CS,SLG,R
.794,81,SAN,3,3,.397,38
.891,86,SPR,3,5,.496,46
--,0,SAN,0,0,--,0
.717,142,FRI,3,16,.367,82
.705,83,FRI,3,8,.372,43
.867,154,SPR,0,1,.494,84
.730,50,TUL,1,3,.337,19
.000,0,TUL,0,0,.000,1
.222,1,SPR,2,0,.111,1
--,0,SAN,0,0,--,0
.763,66,ARK,2,5,.412,45
.837,13,SPR,0,1,.432,6
--,0,COR,0,0,--,0
.835,30,SPR,0,0,.505,13
.766,146,TUL,2,2,.407,60
.858,45,NWA,1,4,.497,23
--,0,SPR,0,0,--,0
.521,17,ARK,2,0,.274,8
.894,110,MID,5,4,.507,65
.000,0,SAN,0,0,.000,0
.724,17,SAN,2,0,.373,9
--,0,SAN,0,0,--,0
.736,87,FRI,0,3,.406,50
.000,0,SAN,0,0,.000,0
.979,124,MID,1,2,.560,57
.756,97,SPR,4,6,.449,62
.775,5,SAN,2,0,.400,1
--,0,TUL,0,0,--,0
.566,30,ARK,1,1,.290,8
.809,74,TUL,5,3,.419,33
.751,109,NWA,4,9,.384,57
.000,0,SPR,0,0,.000,0
.870,107,COR,1,0,.506,43
.813,148,MID,0,0,.467,89
.624,82,COR,0,0,.371,35
.704,84,MID,2,6,.342,53
.946,141,TUL,8,8,.515,92
1.113,7,SPR,0,0,.684,5
.000,0,SPR,0,0,.000,0
.812,80,ARK,0,10,.433,43
.615,28,ARK,1,1,.357,15
.820,105,COR,1,1,.437,60
.500,1,SPR,0,0,.250,0
1.096,86,FRI,0,2,.646,49
1.250,2,SPR,1,0,.750,2
.872,31,MID,0,0,.490,19
.699,50,SPR,9,7,.382,31
.624,54,ARK,12,4,.336,26
.680,7,ARK,0,0,.400,3
.789,5,MID,0,1,.313,6
.286,1,SPR,1,0,.143,0
.640,122,SPR,10,4,.348,50
.399,29,ARK,7,0,.195,14
.783,84,NWA,3,6,.454,42
.753,83,COR,2,8,.404,51
--,0,TUL,0,0,--,0
.691,101,SAN,6,4,.359,53
.780,5,SAN,0,0,.412,1
1.101,8,FRI,0,0,.579,5
--,0,COR,0,0,--,0
.000,0,TUL,1,0,.000,0
.000,0,COR,0,0,.000,0
.692,22,FRI,1,0,.363,7
2.000,1,TUL,0,0,1.000,0
--,0,SPR,0,0,--,0
.845,19,SPR,1,1,.422,12
.609,64,NWA,4,4,.332,19
.745,16,MID,0,1,.389,11
.791,27,SPR,0,0,.429,9
1.000,1,SPR,0,0,.500,0
.638,18,SPR,0,0,.345,12
.000,0,SPR,0,0,.000,0
.463,3,SAN,2,0,.263,2
.792,67,COR,3,4,.446,27
.787,82,NWA,2,7,.415,38
.000,0,COR,0,0,.000,0
.807,34,ARK,2,2,.496,13
.784,117,TUL,6,16,.392,74
.689,59,SAN,1,1,.341,27
.728,41,TUL,2,1,.424,17
.927,10,ARK,0,1,.611,3
.676,13,MID,2,0,.380,7
.728,20,FRI,2,1,.395,12
.819,62,COR,2,0,.398,22
.760,44,COR,1,2,.400,30
.796,43,SAN,0,2,.426,32
.716,113,TUL,9,16,.345,65
.698,115,TUL,4,8,.382,53
.365,1,COR,0,0,.143,3
.699,51,MID,0,1,.388,25
.772,107,ARK,1,5,.460,55
.277,1,COR,2,0,.077,1
--,0,SPR,0,0,--,0
.722,59,SPR,0,0,.384,27
.475,13,TUL,0,0,.257,4
.775,17,SAN,1,0,.415,8
1.286,3,COR,1,0,.857,1
.709,71,ARK,4,7,.347,47
.661,6,SAN,5,0,.286,2
--,0,SAN,0,0,--,0
.415,10,TUL,0,0,.206,5
.000,0,TUL,0,0,.000,0
.761,115,SAN,1,3,.407,46
.738,128,NWA,5,12,.375,69
.000,0,TUL,0,0,.000,0
.838,86,FRI,6,11,.459,40
.663,132,NWA,3,8,.350,68
.749,22,MID,0,0,.365,13
.063,0,SPR,1,0,.000,0
.865,21,SAN,1,0,.424,6
.830,8,FRI,0,0,.419,6
.702,44,FRI,5,1,.379,33
.631,7,SAN,0,0,.333,4
.816,145,SAN,3,6,.423,92
.918,160,SAN,0,4,.514,75
--,0,TUL,0,0,--,0
.000,0,SPR,0,0,.000,0
.000,0,SAN,0,0,.000,0
.769,68,MID,2,4,.439,44
.618,51,SPR,6,1,.324,24
.718,24,MID,0,1,.326,12
.667,1,COR,0,0,.333,0
.892,32,FRI,0,0,.505,15
.484,15,SAN,2,0,.202,9
.795,133,FRI,0,3,.484,84
.903,102,FRI,0,2,.518,66
.717,115,SAN,2,2,.409,67
1.000,1,TUL,0,0,.500,0
.692,53,MID,1,1,.314,42
.000,0,SPR,0,0,.000,0
.767,80,ARK,1,2,.427,28
1.333,2,SPR,0,0,.667,1
.000,0,TUL,2,0,.000,0
1.109,18,SPR,0,0,.653,13
