BLK%,MP,Tm,STL%,GS
0.0,9:07,CHI,6.2,1
3.6,18:24,CHI,0.0,1
0.0,11:31,CHI,0.0,1
0.0,16:15,CHI,3.2,1
0.0,17:39,CHI,0.0,1
5.2,15:59,CHI,0.0,0
0.0,13:48,CHI,0.0,1
7.1,18:50,CHI,2.7,0
0.0,16:39,CHI,0.0,0
0.0,18:32,CHI,0.0,0
0.0,19:54,CHI,0.0,0
0.0,10:21,CHI,0.0,0
0.0,5:08,CHI,0.0,1
0.0,9:36,CHI,0.0,0
5.1,13:37,CHI,0.0,1
0.0,8:39,CHI,0.0,0
0.0,8:19,CHI,0.0,0
0.0,7:20,CHI,0.0,0
0.0,8:32,CHI,6.4,0
0.0,10:37,CHI,0.0,0
0.0,9:00,CHI,0.0,1
0.0,14:37,CHI,0.0,1
0.0,4:49,CHI,0.0,0
0.0,12:13,CHI,0.0,1
0.0,15:18,CHI,0.0,1
0.0,3:25,CHI,0.0,0
0.0,7:02,CHI,0.0,0
0.0,4:01,CHI,0.0,0
7.2,9:51,CHI,0.0,1
0.0,10:31,CHI,0.0,0
0.0,6:10,CHI,0.0,0
0.0,4:56,CHI,0.0,0
0.0,3:12,CHI,0.0,0
4.6,17:23,CHI,0.0,1
