Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Garin Cecchini,Gre,231,27,61,16,1,2,18,19,3,23,55,0.264,0.337,0.368,0.705
Keury De La Cruz,SalGre,251,26,65,17,5,3,19,7,5,18,59,0.259,0.314,0.402,0.716
Jackie Bradley,PorSal,202,25,63,20,3,2,16,8,5,26,49,0.312,0.397,0.47,0.867
Brandon Jacobs,Sal,218,25,43,15,0,3,22,5,4,18,72,0.197,0.274,0.307,0.581
Jeremy Hazelbaker,PawPor,198,24,49,8,1,8,18,16,6,17,59,0.247,0.318,0.419,0.737
Xander Bogaerts,PorSal,202,23,60,16,0,6,21,2,1,21,46,0.297,0.37,0.465,0.835
Jose Garcia,Gre,196,23,45,9,1,3,12,15,5,23,57,0.23,0.312,0.332,0.644
Travis Shaw,PorSal,211,21,47,13,2,4,21,4,1,27,63,0.223,0.317,0.36,0.677
Reynaldo Rodriguez,PawPor,197,21,44,13,0,5,13,4,1,23,54,0.223,0.308,0.365,0.673
J.C. Linares,PawPor,226,20,59,10,0,9,27,0,0,16,43,0.261,0.317,0.425,0.742
Bryce Brentz,PawPor,237,20,58,10,1,5,26,2,2,21,71,0.245,0.311,0.359,0.669
Henry Ramos,Gre,221,20,50,11,1,2,28,4,5,16,58,0.226,0.288,0.312,0.6
Mauro Gomez,Paw,169,19,47,15,0,9,25,0,0,9,39,0.278,0.315,0.527,0.841
Pedro Ciriaco,Paw,135,17,35,7,1,1,7,6,1,4,23,0.259,0.289,0.348,0.637
Che-Hsuan Lin,Paw,201,17,47,3,3,0,10,9,4,21,31,0.234,0.313,0.279,0.591
David Renfroe,SalGre,198,17,39,12,0,3,21,2,1,14,49,0.197,0.261,0.303,0.564
Michael Almanzar,Sal,216,16,59,13,0,4,22,4,3,15,40,0.273,0.325,0.389,0.714
Drew Hedman,PorSal,121,15,22,6,0,5,12,4,0,23,40,0.182,0.318,0.355,0.673
Boss Moanaroa,Gre,201,15,47,9,1,2,19,0,1,35,56,0.234,0.35,0.318,0.668
Deven Marrero,Low,132,15,33,6,1,1,7,6,4,16,27,0.25,0.331,0.333,0.664
Tony Thomas,Paw,108,15,21,4,0,4,7,6,1,8,37,0.194,0.248,0.343,0.59
Ryan Dent,PawPor,148,15,31,2,0,2,10,2,2,17,35,0.209,0.292,0.264,0.555
Alixon Suarez,DSL,92,14,24,3,2,2,11,0,2,15,21,0.261,0.381,0.402,0.783
Ryan Lavarnway,Paw,136,14,36,10,0,1,12,0,0,14,28,0.265,0.333,0.36,0.694
Nate Spears,Paw,153,14,36,4,2,4,12,2,0,18,37,0.235,0.32,0.366,0.686
