Age,G,BLK%,STL%,AST%,ORB%,Opp,eFG%,Date
24-242,59,5.1,0.0,17.4,20.2,NYK,.500,1986-04-04
24-239,57,0.0,0.0,22.9,15.7,CLE,.500,1986-04-01
24-246,61,0.0,0.0,0.0,15.7,MIL,.000,1986-04-08
24-123,15,0.0,0.0,0.0,0.0,POR,.000,1985-12-06
24-096,5,0.0,0.0,0.0,23.5,DET, ,1985-11-09
24-251,64,2.6,0.0,0.0,0.0,NJN,.500,1986-04-13
24-109,8,0.0,0.0,0.0,0.0,PHI, ,1985-11-22
24-142,20,0.0,0.0,0.0,0.0,NYK, ,1985-12-25
24-131,18,0.0,0.0,0.0,0.0,CLE, ,1985-12-14
24-244,60,0.0,0.0,30.8,0.0,PHI,.000,1986-04-06
24-113,10,0.0,0.0,0.0,0.0,PHI, ,1985-11-26
24-165,26,0.0,0.0,19.6,0.0,IND, ,1986-01-17
24-198,39,1.6,0.0,0.0,11.1,GSW,.500,1986-02-19
24-247,62,0.0,0.0,0.0,0.0,NJN, ,1986-04-09
24-163,25,0.0,0.0,0.0,0.0,DEN,.000,1986-01-15
24-103,6,0.0,0.0,0.0,0.0,IND,.500,1985-11-16
24-204,42,0.0,0.0,0.0,0.0,NYK,1.000,1986-02-25
24-116,11,0.0,0.0,23.5,0.0,NYK,.000,1985-11-29
24-135,19,0.0,0.0,100.0,0.0,DAL,1.000,1985-12-18
24-156,24,0.0,0.0,0.0,0.0,CLE,.000,1986-01-08
24-223,52,22.6,0.0,0.0,0.0,PHI,.000,1986-03-16
24-199,40,0.0,0.0,5.9,15.4,DEN,.600,1986-02-20
24-235,56,3.6,0.0,6.4,26.7,WSB,.143,1986-03-28
24-205,43,0.0,0.0,0.0,0.0,SAS,.500,1986-02-26
24-086,2,0.0,0.0,0.0,0.0,MIL,.667,1985-10-30
24-081,1,0.0,0.0,0.0,0.0,NJN, ,1985-10-25
24-240,58,0.0,0.0,0.0,34.0,DET, ,1986-04-02
24-225,53,4.2,0.0,7.6,10.5,CLE,.333,1986-03-18
24-196,38,11.5,0.0,0.0,0.0,PHO,.000,1986-02-17
