Salary,WAR,Rbat,162WL%,WAA,dWAR,Name,RAR,G
"$600,000",0.1,-12,.496,-0.7,0.6,Alberto Gonzalez,2,102
"$1,500,000",0.0,0,.500,0.0,0.0,Chad Qualls,0,77
"$468,800",-0.1,-5,.499,-0.1,0.0,Clayton Richard*,-1,20
 ,0.0,0,.500,0.0,0.0,Evan Scribner,0,10
"$429,100",4.5,1,.517,2.8,2.0,Cameron Maybin,43,137
"$423,300",-0.2,-4,.497,-0.6,-0.1,Eric Patterson*,-2,47
"$424,700",1.5,1,.506,0.9,0.6,Kyle Blanks,14,55
"$2,325,000",2.8,9,.509,1.4,0.3,Chase Headley#,27,113
 ,-0.1,-2,.498,-0.3,-0.2,Luis Martinez,-1,22
 ,-0.1,0,.499,-0.1,-0.2,Everth Cabrera#,-1,2
"$2,000,000",-0.4,-5,.494,-1.0,-0.4,Brad Hawpe*,-2,62
 ,0.2,-2,.499,-0.1,0.1,Aaron Cunningham,2,52
"$447,800",0.0,0,.500,0.0,0.0,Luke Gregerson*,0,61
 ,0.1,-4,.499,-0.2,0.3,Kyle Phillips*,1,36
"$414,000",-0.0,0,.500,-0.0,0.0,Cedric Hunter*,-0,6
"$414,240",0.0,0,.500,0.0,0.0,Sam Deduno,0,2
 ,-0.6,-2,.496,-0.7,-0.4,Blake Tekotte*,-5,19
 ,0.0,0,.500,0.0,0.0,Drew Carpenter,0,6
 ,-0.1,-2,.500,-0.1,0.0,Anthony Bass,-1,27
"$7,500,000",0.0,0,.500,0.0,0.0,Heath Bell,0,64
"$417,100",0.0,0,.500,0.0,0.0,Ernesto Frieri,0,59
"$2,535,000",0.0,0,.500,0.0,0.0,Mike Adams,0,49
"$3,500,000",-0.3,-11,.498,-0.3,0.0,Aaron Harang,-3,28
"$4,000,000",0.7,-5,.496,-0.7,-0.6,Orlando Hudson#,8,119
 ,-0.4,-2,.497,-0.5,-0.2,James Darnell,-3,18
 ,1.8,12,.506,1.0,-0.4,Jesus Guzman,18,76
 ,0.0,0,.500,0.0,0.0,Brad Brach,0,9
"$4,000,000",-0.1,-15,.488,-1.9,-0.2,Jason Bartlett,1,139
"$439,900",3.2,11,.514,2.2,1.1,Nick Hundley,30,82
"$850,000",-0.9,-11,.492,-1.3,0.1,Jorge Cantu,-7,57
